Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Wspaniałe M4 - Radogoszcz Wschód,Bałuty,3,349000,62.05,5624,23-01-2021,https://www.otodom.pl/pl/oferta/wspaniale-m4-radogoszcz-wschod-ID46V3t.html
Mieszkanie 38 m2 na ul.Plantowej na Teofilowie,Bałuty,2,200000,37.68,5308,23-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-38-m2-na-ul-plantowej-na-teofilowie-ID49JdN.html
Duża kawalerka Doły,Bałuty,1,219000,37,5919,23-01-2021,https://www.otodom.pl/pl/oferta/duza-kawalerka-doly-ID49Jbl.html
Felińskiego/okolice/wolne,Górna,1,165000,23.53,7012,23-01-2021,https://www.otodom.pl/pl/oferta/felinskiego-okolice-wolne-ID49J8o.html
M-3 4242m2 Retkinia Północ,Polesie Retkinia,2,255000,42.42,6011,23-01-2021,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-polnoc-ID49J7k.html
Manufaktura/okolice/winda,Śródmieście,2,349500,52.96,6599,23-01-2021,https://www.otodom.pl/pl/oferta/manufaktura-okolice-winda-ID49J6T.html
Nawrot/Targowa/okolice,Śródmieście,4,375000,112.81,3324,23-01-2021,https://www.otodom.pl/pl/oferta/nawrot-targowa-okolice-ID49J6u.html
Mieszkanie na 11 p. po remoncie salon 4 m WYSOKI,Bałuty,2,417579,60,6960,23-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-na-11-p-po-remoncie-salon-4-m-wysoki-ID49J5r.html
oś. Wielkopolska/Żabieniec/ wolne,Bałuty Żabieniec,2,223000,45,4956,23-01-2021,https://www.otodom.pl/pl/oferta/os-wielkopolska-zabieniec-wolne-ID49J4n.html
4 loggia Teofilów - oddanie czerwiec 2021,Bałuty,4,466440,71.68,6507,23-01-2021,https://www.otodom.pl/pl/oferta/4-pokoje-loggia-teofilow-oddanie-czerwiec-2021-ID49J3N.html
Apartament z dużym tarasem w sercu miasta,Polesie Stare Polesie,1,245000,31,7903,23-01-2021,https://www.otodom.pl/pl/oferta/apartament-z-duzym-tarasem-w-sercu-miasta-ID49IRE.html
M4 z miejscem parkingowym w cenie,Polesie Retkinia,3,375000,63.56,5900,23-01-2021,https://www.otodom.pl/pl/oferta/m4-z-miejscem-parkingowym-w-cenie-ID49IRn.html
Rozkładowe M2 z balkonem przy parku rejtana,Górna Nowe Rokicie,1,155000,26,5962,23-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m2-z-balkonem-przy-parku-rejtana-ID49IQV.html
3 Dąbrowa,Górna,2,355000,53.06,6691,23-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-dabrowa-ID49IKC.html
Mieszkanie 90m2 na 2 piętrze Janów -Ketlinga,Widzew Janów,4,470000,90.30,5205,23-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-90m2-na-2-pietrze-janow-ketlinga-ID49IKt.html
M-3 Ogródek Balkon Loggia Rozkładowe!,Bałuty,2,267000,50.15,5324,23-01-2021,https://www.otodom.pl/pl/oferta/m-3-ogrodek-balkon-loggia-rozkladowe-ID49IJK.html
Wyjątkowe mieszkanie 53m blisko centrum,Widzew,3,315000,53,5943,23-01-2021,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-53m-blisko-centrum-ID49IIE.html
