Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Dwa przestronne na Żubardziu!,Bałuty,2,299900,54.50,5503,18-01-2021,https://www.otodom.pl/pl/oferta/dwa-przestronne-pokoje-na-zubardziu-ID49Cuw.html
Przestronne dwupokojowe mieszkanie (bezposrednio),Polesie Koziny,2,260000,45,5778,18-01-2021,https://www.otodom.pl/pl/oferta/przestronne-dwupokojowe-mieszkanie-bezposrednio-ID49Ctq.html
M3Zarzew pełen rozkład balkon do wprowadzenia,Widzew Zarzew,2,256000,52,4923,18-01-2021,https://www.otodom.pl/pl/oferta/m3zarzew-pelen-rozklad-balkon-do-wprowadzenia-ID49CsZ.html
M3Dąbrowa balkon do wprowadzenia dobra cena,Górna Dąbrowa,2,206000,37,5568,18-01-2021,https://www.otodom.pl/pl/oferta/m3dabrowa-balkon-do-wprowadzenia-dobra-cena-ID49CrY.html
M3Dąbrowa pełen rozkład super cena gotówka,Górna Dąbrowa,2,213000,45,4733,18-01-2021,https://www.otodom.pl/pl/oferta/m3dabrowa-pelen-rozklad-super-cena-gotowka-ID49CqJ.html
Żubrowej 13 - ostatnie dwa mieszkania!,Polesie,3,411357,63.36,6492,18-01-2021,https://www.otodom.pl/pl/oferta/zubrowej-13-ostatnie-dwa-mieszkania-ID49Col.html
Apartament/ Taras25m2/ Włoski Marmur/ter ogrodzony,Śródmieście,3,479000,73.43,6523,18-01-2021,https://www.otodom.pl/pl/oferta/apartament-taras25m2-wloski-marmur-ter-ogrodzony-ID49Coa.html
Rozkładowe (3-pokojowe) mieszkanie - 4940 m2,Widzew,3,280000,49.40,5668,18-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-3-pokojowe-mieszkanie-49-40-m2-ID49Co1.html
M4 do własnej aranżacji. Teofilów ul. Rojna,Bałuty,3,260000,57,4561,18-01-2021,https://www.otodom.pl/pl/oferta/m4-do-wlasnej-aranzacji-teofilow-ul-rojna-ID49Cnz.html
M3 z balkonem garaż w cenie!,Górna Chojny,2,420000,60,7000,18-01-2021,https://www.otodom.pl/pl/oferta/m3-z-balkonem-garaz-w-cenie-ID49Cn7.html
OKAZJA !!! 4690 mkw M-3 przy Parcie Łódź,Górna Ruda Pabianicka,2,230000,49,4694,18-01-2021,https://www.otodom.pl/pl/oferta/okazja-4690-mkw-m-3-przy-parcie-lodz-ID49CmY.html
3 86m2 kamienica Śródmieście Polesie,Śródmieście,3,370000,85.90,4307,18-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-86m2-kamienica-srodmiescie-polesie-ID49CkE.html
3 wspólny garaż klimatyzacja.,Polesie,3,450000,66,6818,18-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-wspolny-garaz-klimatyzacja-ID49Cht.html
Trzypokojowe Mieszkanie Zarzew,Widzew,3,245000,47.22,5188,18-01-2021,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-zarzew-ID49Chg.html
Przestronne M3 Na Próchnika Pod Klucz,Śródmieście,2,242000,34,7118,18-01-2021,https://www.otodom.pl/pl/oferta/przestronne-m3-na-prochnika-pod-klucz-ID49Ccz.html
Extra kawalerka 34m2 Os Mireckiego Najbliżej Parku,Polesie,1,229000,34,6735,18-01-2021,https://www.otodom.pl/pl/oferta/extra-kawalerka-34m2-os-mireckiego-najblizej-parku-ID49wd1.html
Sprzedam bezpośrednio po generalnym remoncie,Górna Chojny,3,310000,51.05,6072,18-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-po-generalnym-remoncie-ID49njC.html
Bezpośrednio. Mieszkanie M4 62m Łódź Chojny,Górna Chojny,3,340000,62.47,5443,18-01-2021,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-m4-62m-lodz-chojny-ID46Oil.html
Sprzedam apartament,Górna Ruda Pabianicka,3,455000,48.33,9414,18-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-apartament-ID49CbG.html
M4 Po Generalnym Remoncie - 48m2 Blok Z Cegły,Górna,3,317000,48.70,6509,18-01-2021,https://www.otodom.pl/pl/oferta/m4-po-generalnym-remoncie-48m2-blok-z-cegly-ID49Cbp.html
2 okolice al. Politechniki,Górna,2,290000,48,6042,18-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-okolice-al-politechniki-ID49C8h.html
Kawalerka! Odbiór w kwietniu prawdziwa cena!,Śródmieście,1,207938,27.31,7614,18-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-odbior-w-kwietniu-prawdziwa-cena-ID49C5M.html
4132m2 + ogróddwa!,Śródmieście,2,291115,41.32,7045,18-01-2021,https://www.otodom.pl/pl/oferta/41-32m2-ogrod-dwa-pokoje-ID49C5K.html
Apartament 54m2 z ogrodem! Aktualna cena!,Śródmieście,3,346639,53.91,6430,18-01-2021,https://www.otodom.pl/pl/oferta/apartament-54m2-z-ogrodem-aktualna-cena-ID49C5J.html
Dwa na 35m2! Balkon 45m2,Śródmieście,2,270088,35.04,7708,18-01-2021,https://www.otodom.pl/pl/oferta/dwa-pokoje-na-35m2-balkon-4-5m2-ID49C5I.html
Dwa na 40m2 promocja!,Śródmieście,2,286760,40.14,7144,18-01-2021,https://www.otodom.pl/pl/oferta/dwa-pokoje-na-40m2-promocja-ID49C5F.html
Odbiór w kwietniu! Nowa kawalerka 30m2 idealna d,Śródmieście,1,224613,29.50,7614,18-01-2021,https://www.otodom.pl/pl/oferta/odbior-w-kwietniu-nowa-kawalerka-30m2-idealna-d-ID49C5D.html
Cztery 56m2 Promocja!,Śródmieście,4,366697,56.13,6533,18-01-2021,https://www.otodom.pl/pl/oferta/cztery-pokoje-56m2-promocja-ID49C5C.html
Trzy 45m2 prawdziwa cena!,Śródmieście,3,312394,44.91,6956,18-01-2021,https://www.otodom.pl/pl/oferta/trzy-pokoje-45m2-prawdziwa-cena-ID49C5z.html
Nowa kawalerka-idealna pod wynajem! Prawdziwa cena,Śródmieście,1,206720,27.15,7614,18-01-2021,https://www.otodom.pl/pl/oferta/nowa-kawalerka-idealna-pod-wynajem-prawdziwa-cena-ID49C5v.html
Trzy sypialnie + salon! 5613m2,Śródmieście,4,374612,56.13,6674,18-01-2021,https://www.otodom.pl/pl/oferta/trzy-sypialnie-salon-56-13m2-ID49C5u.html
Apartament 107m2 4 sypialnie!,Polesie,5 pokoi,677250,107.50,6300,18-01-2021,https://www.otodom.pl/pl/oferta/apartament-107m2-4-sypialnie-ID49C5t.html
Dwupoziomowy Apartament na 1 piętrze 98m2!,Polesie,3,570199,98.48,5790,18-01-2021,https://www.otodom.pl/pl/oferta/dwupoziomowy-apartament-na-1-pietrze-98m2-ID49C5s.html
Mieszkanie w apartamentowcu 41m2+ balkon!,Śródmieście,2,276744,40.89,6768,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-w-apartamentowcu-41m2-balkon-ID49C5p.html
Mieszkanie w apartamentowcu 41m2+ balkon 45m2!Tan,Polesie,2,276744,40.89,6768,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-w-apartamentowcu-41m2-balkon-4-5m2-tan-ID49C5n.html
Kawalerka 27.48m2+39m2 ogrodu!,Polesie,1,209232,27.48,7614,18-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-27-48m2-39m2-ogrodu-ID49C5m.html
Kawalerka 27.48m2+39m2 ogrodu!,Śródmieście,1,209232,27.48,7614,18-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-27-48m2-39m2-ogrodu-ID49C5j.html
Mieszkanie 4879 Łódź,Górna,2,230000,48.79,4714,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-48-79-m-lodz-ID49BYX.html
M4(47) Górna-Kurak balkonłazienka po rem.,Górna Kurak,3,229000,47,4872,18-01-2021,https://www.otodom.pl/pl/oferta/m447-gorna-kurak-balkon-lazienka-po-rem-ID49BQA.html
POLESIE / ZŁOTNO - Nowy apartamentowiec - 5100/mkw,Polesie,2,217620,36.27,6000,18-01-2021,https://www.otodom.pl/pl/oferta/polesie-zlotno-nowy-apartamentowiec-5100-mkw-ID49nyb.html
1 w zadbanej kamienicy Bałuty 65 tys.,Bałuty,1,65000,23,2826,18-01-2021,https://www.otodom.pl/pl/oferta/1-pokoj-w-zadbanej-kamienicy-baluty-65-tys-zl-ID49BQz.html
M-3 45 mkw balkon po remoncie Żubardź,Bałuty Żubardź,2,299000,45,6644,18-01-2021,https://www.otodom.pl/pl/oferta/m-3-45-mkw-balkon-po-remoncie-zubardz-ID49BPS.html
3 53m2 2 piętro balkon zielona okolica,Bałuty,3,335600,53.26,6301,18-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-53m2-2-pietro-balkon-zielona-okolica-ID49BOF.html
Ostatnie dostępne. M-2 z ogródkiem / Łódź Górna,Górna,2,305660,52.70,5800,18-01-2021,https://www.otodom.pl/pl/oferta/ostatnie-dostepne-m-2-z-ogrodkiem-lodz-gorna-ID49BNG.html
Mieszkanie 50 Łódź,Widzew Olechów,2,269000,50,5380,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-50-m-lodz-ID49BNz.html
M3 w sąsiedztwie deptaka na Piotrkowskiej,Śródmieście,2,350000,76,4605,18-01-2021,https://www.otodom.pl/pl/oferta/m3-w-sasiedztwie-deptaka-na-piotrkowskiej-ID49BLC.html
Mieszkanie po remoncie Łódź Śródmieście,Śródmieście,3,278000,64.70,4297,18-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-lodz-srodmiescie-ID49BJA.html
M3 72m2 w kamienicy w sercu miasta !,Śródmieście,2,320000,72,4444,18-01-2021,https://www.otodom.pl/pl/oferta/m3-72m2-w-kamienicy-w-sercu-miasta-ID49BH7.html
Kamienica zieleń parking. Ewent. w rozl. bloki.,Śródmieście,3,435000,96,4531,18-01-2021,https://www.otodom.pl/pl/oferta/kamienica-zielen-parking-ewent-w-rozl-bloki-ID49BGB.html
2 w doskonałej lokalizacji,łódzkie,2,239000,32,7469,18-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-w-doskonalej-lokalizacji-ID49BGb.html
Apartament blisko centrum,Bałuty,2,361200,43,8400,18-01-2021,https://www.otodom.pl/pl/oferta/apartament-blisko-centrum-ID49BFd.html
Nowe M-2 w Centrum/ok.Dworca Fabrycznego/Od Zaraz,Śródmieście,2,314000,40.81,7694,18-01-2021,https://www.otodom.pl/pl/oferta/nowe-m-2-w-centrum-ok-dworca-fabrycznego-od-zaraz-ID49BCm.html
M2__Rabat ponad 28 000__Hot oferta – Zapraszam,Górna,2,305946,40.89,7482,18-01-2021,https://www.otodom.pl/pl/oferta/m2-rabat-ponad-28-000-hot-oferta-zapraszam-ID49BCj.html
Deweloperskie M w Nowym Centrum Łodzi /Od Zaraz,Śródmieście,1,339000,42.97,7889,18-01-2021,https://www.otodom.pl/pl/oferta/deweloperskie-m-w-nowym-centrum-lodzi-od-zaraz-ID49BCh.html
Apartament 3 pok. - Zapraszam – Rabat 27 000,Widzew,3,371195,52.80,7030,18-01-2021,https://www.otodom.pl/pl/oferta/apartament-3-pok-zapraszam-rabat-27-000-ID49BCg.html
Apartament 3 pok.____Hot oferta____Rabat 26 000,Widzew,3,360916,52.54,6869,18-01-2021,https://www.otodom.pl/pl/oferta/apartament-3-pok-hot-oferta-rabat-26-000-ID49BCf.html
Miejsce postojowe naziemne i Smart Basic w cenie!!,Górna,2,305733,41.16,7428,18-01-2021,https://www.otodom.pl/pl/oferta/miejsce-postojowe-naziemne-i-smart-basic-w-cenie-ID49BCc.html
M2__Specjalna Hot oferta dla Państwa - Zapraszam,Górna,2,305662,40.84,7484,18-01-2021,https://www.otodom.pl/pl/oferta/m2-specjalna-hot-oferta-dla-panstwa-zapraszam-ID49BCa.html
