Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Ciekawe mieszkanie Chojny 81m2 CENA DO NEGOCJACJI!,"Górna, Chojny",3,565000.0,81.16,6962.0,2021-06-27,https://www.otodom.pl/pl/oferta/ciekawe-mieszkanie-chojny-81m2-cena-do-negocjacji-ID4bT4N.html
Apartament 80 m2 w bardzo atrakcyjnej okolicy,Górna,3,700000.0,80.0,8750.0,2021-06-27,https://www.otodom.pl/pl/oferta/apartament-80-m2-w-bardzo-atrakcyjnej-okolicy-ID4bPd5.html
"Bez Prowizji: umeblowane,po generalnym remoncie","Bałuty, Żubardź",2,285000.0,44.21,6447.0,2021-06-27,https://www.otodom.pl/pl/oferta/bez-prowizji-umeblowane-po-generalnym-remoncie-ID4bAEt.html
Apartament + 2xgaraż + ogródek - do wprowadzenia,Górna,3,650000.0,70.0,9286.0,2021-06-27,https://www.otodom.pl/pl/oferta/apartament-2xgaraz-ogrodek-do-wprowadzenia-ID4caeA.html
Wyposażona kawalerka na Retkini do wprowadzenia,"Polesie, Retkinia",1,203000.0,31.0,6548.0,2021-06-27,https://www.otodom.pl/pl/oferta/wyposazona-kawalerka-na-retkini-do-wprowadzenia-ID4caez.html
Kawalerka - inwestycyja,Górna,1,89900.0,15.5,5800.0,2021-06-27,https://www.otodom.pl/pl/oferta/kawalerka-inwestycyja-ID4caas.html
Kawalerka - inwestycyjna - najem,Górna,1,158000.0,19.5,8103.0,2021-06-27,https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjna-najem-ID4caae.html
Apartament/ teren ogrodzony/miejsce-post/Zgierz,"Bałuty, Helenówek",3,530000.0,109.0,4862.0,2021-06-27,https://www.otodom.pl/pl/oferta/apartament-teren-ogrodzony-miejsce-post-zgierz-ID4ca48.html
Sprzedam M-5 na zielonym Radogoszczu,"Bałuty, Radogoszcz",4,400000.0,65.56,6101.0,2021-06-27,https://www.otodom.pl/pl/oferta/sprzedam-m-5-na-zielonym-radogoszczu-ID4ca3U.html
Mieszkanie na parterze,Bałuty,3,399000.0,53.0,7528.0,2021-06-27,https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-ID4ca27.html
2 Żubardź z balkonem,Bałuty,2,229000.0,37.5,6107.0,2021-06-27,https://www.otodom.pl/pl/oferta/2-pokoje-zubardz-z-balkonem-ID4c9R4.html
Wyjątkowe mieszkanie ul. Eugeniusza,Górna,4,740000.0,107.2,6903.0,2021-06-27,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-ul-eugeniusza-ID4c9R1.html
"3 pok. mieszkanie z klimatyzacją, tarasem + garaż",Górna,3,469000.0,65.38,7173.0,2021-06-27,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-z-klimatyzacja-tarasem-garaz-ID4c9Qp.html
Bezpośred. 2 Pokoje 47m.Pocztowa16 Do zamieszkania,Bałuty,2,339840.0,47.2,7200.0,2021-06-27,https://www.otodom.pl/pl/oferta/bezposred-2-pokoje-47m-pocztowa16-do-zamieszkania-ID4c9Ns.html
"Mieszkanie, 43, Łódź",Widzew,2,379000.0,43.0,8814.0,2021-06-27,https://www.otodom.pl/pl/oferta/mieszkanie-43-m-lodz-ID4c9Lk.html
"Ciekawe , 3 pokojowe mieszkanie przy Żeligowskiego",Śródmieście,3,379000.0,64.06,5916.0,2021-06-27,https://www.otodom.pl/pl/oferta/ciekawe-3-pokojowe-mieszkanie-przy-zeligowskiego-ID4c9KX.html
"Mieszkanie M4, dobra lokalizacja, wolne od zaraz","Widzew, Zarzew",3,329000.0,47.28,6959.0,2021-06-27,https://www.otodom.pl/pl/oferta/mieszkanie-m4-dobra-lokalizacja-wolne-od-zaraz-ID4c9KP.html
Parterowe 126m na Starym Polesiu bez pośredników,"Polesie, Stare Polesie",5 pokoi,700000.0,126.0,5556.0,2021-06-27,https://www.otodom.pl/pl/oferta/parterowe-126m-na-starym-polesiu-bez-posrednikow-ID4c9Bg.html
Mieszkanie w kompleksie *LOFT-y Scheiblera*,łódzkie,2,550000.0,59.0,9322.0,2021-06-27,https://www.otodom.pl/pl/oferta/mieszkanie-w-kompleksie-loft-y-scheiblera-ID4c9dQ.html
M3 do aranżacji na Chojnach / I piętro!,"Górna, Chojny",2,273000.0,52.0,5250.0,2021-06-27,https://www.otodom.pl/pl/oferta/m3-do-aranzacji-na-chojnach-i-pietro-ID4c9as.html
4 okolice ronda Lotników Lwowskich,Górna,4,390000.0,65.0,6000.0,2021-06-27,https://www.otodom.pl/pl/oferta/4-pokoje-okolice-ronda-lotnikow-lwowskich-ID4c9a6.html
"Atrakcyjna kawalerka, Koziny, blisko Manufaktury!","Polesie, Koziny",1,188000.0,28.0,6714.0,2021-06-27,https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-koziny-blisko-manufaktury-ID4c8ZX.html
"Mieszkanie, 80, Łódź",łódzkie,2,448000.0,80.0,5600.0,2021-06-27,https://www.otodom.pl/pl/oferta/mieszkanie-80-m-lodz-ID4c8X8.html
"Rozkładowe M3, balkon, do wprowadzenia!","Widzew, Zarzew",2,275000.0,38.3,7180.0,2021-06-27,https://www.otodom.pl/pl/oferta/rozkladowe-m3-balkon-do-wprowadzenia-ID4c8VF.html
