Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Słoneczne przestronne 3-pokojowe mieszkanie,Górna,3,282500,44,6420,11-12-2020,https://www.otodom.pl/pl/oferta/sloneczne-przestronne-3-pokojowe-mieszkanie-ID47jPX.html#ed7b2d23ec
Mieszkanie M3 38 m Łódź górna- dąbrowa,Górna Dąbrowa,2,198000,38,5211,11-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m3-38-m-lodz-gorna-dabrowa-ID497dP.html#ed7b2d23ec
Świetne rozkładowe mieszkanie w bloku z cegły!,Polesie Stare Polesie,3,239500,44.56,5375,11-12-2020,https://www.otodom.pl/pl/oferta/swietne-rozkladowe-mieszkanie-w-bloku-z-cegly-ID48ZwI.html#ed7b2d23ec
Śliczne 2 pokojowe ul. Cieszyńska 18,Górna,2,302000,42,7190,11-12-2020,https://www.otodom.pl/pl/oferta/sliczne-2-pokojowe-ul-cieszynska-18-ID48WHB.html#ed7b2d23ec
Mieszkanie - Łódź Polesie,Polesie,2,190000,38,5000,11-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-polesie-ID49aoV.html#ed7b2d23ec
Mieszkanie  super lokalizacja Manufaktura,Bałuty,2,310000,45,6889,11-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-super-lokalizacja-manufaktura-ID49aod.html#ed7b2d23ec
M-3 TBS Zgierz Łódź Olechów,Widzew,2,195000,54.60,3571,11-12-2020,https://www.otodom.pl/pl/oferta/m-3-tbs-zgierz-lodz-olechow-ID48WCg.html#ed7b2d23ec
Mieszkanie 3949 Łódź,Śródmieście,1,225000,39.49,5698,11-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-39-49-m-lodz-ID48PSG.html#ed7b2d23ec
3 Dąbrowa,Górna,3,320000,52.35,6113,11-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-dabrowa-ID49akb.html#ed7b2d23ec
M-3 Górna Balkon Pełen RozkładCzerwony Rynek,Górna,2,250000,42.98,5817,11-12-2020,https://www.otodom.pl/pl/oferta/m-3-gorna-balkon-pelen-rozklad-czerwony-rynek-ID49aju.html#ed7b2d23ec
Taniej niż u dewelopera. Atrakcyjna cena.,Śródmieście,1,249000,35,7114,11-12-2020,https://www.otodom.pl/pl/oferta/taniej-niz-u-dewelopera-atrakcyjna-cena-ID49ah2.html#ed7b2d23ec
Najtańsze 3-pok. Bądź pierwszy &gt;&gt; Klucze 06/2021r.,Śródmieście,3,310000,48.99,6328,11-12-2020,https://www.otodom.pl/pl/oferta/najtansze-3-pok-badz-pierwszy-klucze-06-2021r-ID49agP.html#ed7b2d23ec
Odbierz klucze już w II kw. 2021r. Idelany układ&gt;&gt;,Śródmieście,2,269999,41.50,6506,11-12-2020,https://www.otodom.pl/pl/oferta/odbierz-klucze-juz-w-ii-kw-2021r-idelany-uklad-ID49agK.html#ed7b2d23ec
Mieszkanie 4107 Łódź,Śródmieście,2,259627,41.07,6322,11-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-41-07-m-lodz-ID49aep.html#ed7b2d23ec
Ustawne 3 dla Rodziny - Blisko Parków !,Śródmieście,3,305705,50.07,6106,11-12-2020,https://www.otodom.pl/pl/oferta/ustawne-3-pokoje-dla-rodziny-blisko-parkow-ID49aen.html#ed7b2d23ec
2 + Ogródek Hit! 5 min do Śródmieścia,Widzew,2,251612,37.05,6791,11-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-ogrodek-hit-5-min-do-srodmiescia-ID49aei.html#ed7b2d23ec
Urokliwy Ogródek - Przestronne 3!,Widzew,3,316805,51.05,6206,11-12-2020,https://www.otodom.pl/pl/oferta/urokliwy-ogrodek-przestronne-3-pokoje-ID49aeh.html#ed7b2d23ec
