Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
600m od MANUFAKTURY | nowy apartamentowiec LATO21R,Śródmieście,1,208000.0,30.64,6789.0,2021-03-11,https://www.otodom.pl/pl/oferta/600m-od-manufaktury-nowy-apartamentowiec-lato21r-ID4af0V.html#25075a1c82
Mieszkanie po gruntownym remoncie,"Widzew, Zarzew",2,315000.0,56.5,5575.0,2021-03-11,https://www.otodom.pl/pl/oferta/mieszkanie-po-gruntownym-remoncie-ID49wrm.html#25075a1c82
M-3 TBS Zgierz Łódź Olechów,Widzew,2,195000.0,54.6,3571.0,2021-03-11,https://www.otodom.pl/pl/oferta/m-3-tbs-zgierz-lodz-olechow-ID48WCg.html#25075a1c82
"Mieszkanie, 54, Łódź","Górna, Kurak",2,299000.0,54.0,5537.0,2021-03-11,https://www.otodom.pl/pl/oferta/mieszkanie-54-m-lodz-ID4awFh.html#25075a1c82
"Apartament 3 - 68,73m2, 5 piętro, Teofilów","Bałuty, Teofilów",3,433062.0,68.73,6301.0,2021-03-11,https://www.otodom.pl/pl/oferta/apartament-3-pokoje-68-73m2-5-pietro-teofilow-ID4awEc.html#25075a1c82
"Apartament 3 - 68,73m2, 2 piętro, Teofilów","Bałuty, Grabieniec",3,422751.0,68.73,6151.0,2021-03-11,https://www.otodom.pl/pl/oferta/apartament-3-pokoje-68-73m2-2-pietro-teofilow-ID4awAP.html#25075a1c82
"Mieszkanie, 70, Łódź",łódzkie,3,440000.0,70.0,6286.0,2021-03-11,https://www.otodom.pl/pl/oferta/mieszkanie-70-m-lodz-ID4awwI.html#25075a1c82
Łódź Centrum Rewolucji 1905r. 2 46m2,Śródmieście,2,209000.0,46.0,4543.0,2021-03-11,https://www.otodom.pl/pl/oferta/lodz-centrum-rewolucji-1905r-2-pokoje-46m2-ID4awqK.html#25075a1c82
INWESTYCYJNE przy Politechnice Łódzkiej.,Widzew,1,217400.0,27.0,8052.0,2021-03-11,https://www.otodom.pl/pl/oferta/inwestycyjne-przy-politechnice-lodzkiej-ID4awpR.html#25075a1c82
"Zadbane M4, 56m2, 5p, Chojny!",Górna,3,340000.0,55.6,6115.0,2021-03-11,https://www.otodom.pl/pl/oferta/zadbane-m4-56m2-5p-chojny-ID4awnS.html#25075a1c82
"Mieszkanie 45.4m2, trzy pomieszczenia, rozkładowe!","Polesie, Koziny",3,255000.0,45.4,5617.0,2021-03-11,https://www.otodom.pl/pl/oferta/mieszkanie-45-4m2-trzy-pomieszczenia-rozkladowe-ID4awnM.html#25075a1c82
INWESTYCYJNE w Centrum . Wybór pięter.,Widzew,2,274192.0,34.52,7943.0,2021-03-11,https://www.otodom.pl/pl/oferta/inwestycyjne-w-centrum-wybor-pieter-ID4awlP.html#25075a1c82
"Rozkładowe mieszkanie 3- pokojowe, centrum",Polesie,3,276000.0,43.5,6345.0,2021-03-11,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-3-pokojowe-centrum-ID4awlv.html#25075a1c82
"Mieszkanie, 65,75, Łódź","Bałuty, Grabieniec",3,420864.0,65.75,6401.0,2021-03-11,https://www.otodom.pl/pl/oferta/mieszkanie-65-75-m-lodz-ID4awls.html#25075a1c82
Na sprzedaż 3-pokojowe mieszkanie Łódź-Bałuty,Bałuty,3,272200.0,52.45,5190.0,2021-03-11,https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-lodz-baluty-ID4awgQ.html#25075a1c82
Trio Park | nowe mieszkanie C.15,Bałuty,3,385250.0,57.5,6700.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-nowe-mieszkanie-c-15-ID4awez.html#25075a1c82
Trio Park | atrakcyjne mieszkanie C.12,Bałuty,3,382140.0,57.9,6600.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-atrakcyjne-mieszkanie-c-12-ID4awev.html#25075a1c82
Trio Park | przestronne mieszkanie C.10,Bałuty,4,496716.0,75.26,6600.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-przestronne-mieszkanie-c-10-ID4awet.html#25075a1c82
Trio Park | ustawne mieszkanie C.08,Bałuty,4,495690.0,76.26,6500.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-ustawne-mieszkanie-c-08-ID4awer.html#25075a1c82
Trio Park | wyjątkowe mieszkanie C.07,Bałuty,4,490425.0,75.45,6500.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-wyjatkowe-mieszkanie-c-07-ID4awep.html#25075a1c82
Trio Park | duże mieszkanie C.05,Bałuty,4,489408.0,76.47,6400.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-duze-mieszkanie-c-05-ID4awek.html#25075a1c82
Trio Park | nowe mieszkanie C.04,Bałuty,4,484480.0,75.7,6400.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-nowe-mieszkanie-c-04-ID4awej.html#25075a1c82
Trio Park | atrakcyjne mieszkanie C.03,Bałuty,3,374784.0,58.56,6400.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-atrakcyjne-mieszkanie-c-03-ID4aweh.html#25075a1c82
Trio Park | przestronne mieszkanie C.02,Bałuty,4,483147.0,76.69,6300.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-przestronne-mieszkanie-c-02-ID4aweg.html#25075a1c82
Trio Park | ustawne mieszkanie C.01,Bałuty,4,607200.0,75.9,8000.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-ustawne-mieszkanie-c-01-ID4awef.html#25075a1c82
Trio Park | wyjątkowe mieszkanie B.27,Bałuty,2,256428.0,37.71,6800.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-wyjatkowe-mieszkanie-b-27-ID4awee.html#25075a1c82
Trio Park | duże mieszkanie B.25,Bałuty,3,337920.0,51.2,6600.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-duze-mieszkanie-b-25-ID4awed.html#25075a1c82
"Trzypokojowe, Łódź-Śródmieście, Manhattan",Śródmieście,3,335000.0,57.31,5845.0,2021-03-11,https://www.otodom.pl/pl/oferta/trzypokojowe-lodz-srodmiescie-manhattan-ID4ar4x.html#83305b385b
"Piękne 3 po remoncie, Bałuty ul. Spacerowa",Bałuty,3,379000.0,53.0,7151.0,2021-03-11,https://www.otodom.pl/pl/oferta/piekne-3-pokoje-po-remoncie-baluty-ul-spacerowa-ID4aqlP.html#83305b385b
luksusowe mieszkanie z klimatyzą w centrum miasta,Śródmieście,3,399000.0,63.0,6333.0,2021-03-11,https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-z-klimatyza-w-centrum-miasta-ID48ZAk.html#83305b385b
Trio Park | nowe mieszkanie B.24,Bałuty,3,300960.0,45.6,6600.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-nowe-mieszkanie-b-24-ID4aweb.html#83305b385b
Trio Park | atrakcyjne mieszkanie B.23,Bałuty,2,272160.0,33.6,8100.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-atrakcyjne-mieszkanie-b-23-ID4awea.html#83305b385b
Trio Park | przestronne mieszkanie B.22,Bałuty,2,254667.0,38.01,6700.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-przestronne-mieszkanie-b-22-ID4awe7.html#83305b385b
Trio Park | ustawne mieszkanie B.20,Bałuty,3,333385.0,51.29,6500.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-ustawne-mieszkanie-b-20-ID4awe5.html#83305b385b
Trio Park | wyjątkowe mieszkanie B.19,Bałuty,3,297700.0,45.8,6500.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-wyjatkowe-mieszkanie-b-19-ID4awe2.html#83305b385b
Trio Park | duże mieszkanie B.18,Bałuty,3,307450.0,47.3,6500.0,2021-03-11,https://www.otodom.pl/pl/oferta/trio-park-duze-mieszkanie-b-18-ID4awe1.html#83305b385b
