Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Kawalerka Retkinia z pięknym widokiem,"Polesie, Retkinia",1,189000.0,31.0,6097.0,2021-04-13,https://www.otodom.pl/pl/oferta/kawalerka-retkinia-z-pieknym-widokiem-ID4aYCT.html
"0% od Kupującego, 3 rozkładowe","Górna, Chojny",3,330000.0,57.0,5789.0,2021-04-13,https://www.otodom.pl/pl/oferta/0-od-kupujacego-3-rozkladowe-pokoje-ID4aWQ3.html
Apartament Janów blok ogrodzony siłownia sauna,"Widzew, Janów",4,600000.0,87.0,6897.0,2021-04-13,https://www.otodom.pl/pl/oferta/apartament-janow-blok-ogrodzony-silownia-sauna-ID4axXR.html
Przestronne odświeżone do zamieszkania ul. Grażyny,Górna,3,415000.0,64.4,6444.0,2021-04-13,https://www.otodom.pl/pl/oferta/przestronne-odswiezone-do-zamieszkania-ul-grazyny-ID4b1jF.html
3-pokojowe mieszkanie Łódź centrum,"Śródmieście, Radiostacja",3,370000.0,51.0,7255.0,2021-04-13,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-lodz-centrum-ID4b1bB.html
M4-Łódź-Widzew-Wschód,Widzew,3,349000.0,62.0,5629.0,2021-04-13,https://www.otodom.pl/pl/oferta/m4-lodz-widzew-wschod-ID4b15n.html
"Mieszkanie na sprzedaż, Łódź, Retkinia",łódzkie,3,359000.0,56.1,6399.0,2021-04-13,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-lodz-retkinia-ID4b0WM.html
M4 62m2 do wprowadzenia na Widzewie Wschodzie.,Widzew,3,407000.0,62.0,6565.0,2021-04-13,https://www.otodom.pl/pl/oferta/m4-62m2-do-wprowadzenia-na-widzewie-wschodzie-ID4b0Tz.html
"M3, Chojny, 10p z 11; 51,5m2 zadbane!","Górna, Chojny",2,349000.0,51.5,6777.0,2021-04-13,https://www.otodom.pl/pl/oferta/m3-chojny-10p-z-11-51-5m2-zadbane-ID4b0Tw.html
M-3 na zielonym Karolewie,"Polesie, Karolew",2,210000.0,36.07,5822.0,2021-04-13,https://www.otodom.pl/pl/oferta/m-3-na-zielonym-karolewie-ID4b0QZ.html
Zarzew. jasne rozkładowe M-3 w punktowcu. 1 piętro,Widzew,2,269000.0,46.0,5848.0,2021-04-13,https://www.otodom.pl/pl/oferta/zarzew-jasne-rozkladowe-m-3-w-punktowcu-1-pietro-ID4b0PN.html
"M3 apartament, winda, Górna",Górna,2,399000.0,68.0,5868.0,2021-04-13,https://www.otodom.pl/pl/oferta/m3-apartament-winda-gorna-ID4b0F8.html
M4 Radogoszcz Wschód -1 piętro z balkonm,"Bałuty, Radogoszcz",3,347000.0,58.0,5983.0,2021-04-13,https://www.otodom.pl/pl/oferta/m4-radogoszcz-wschod-1-pietro-z-balkonm-ID4b0Cr.html
Kawalerka w kamienicy przy Manufakturze!,Śródmieście,1,129000.0,19.83,6505.0,2021-04-13,https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-przy-manufakturze-ID4b0Ar.html
"M3 Bałuty, Żubardź, pełen rozkład, Okazja",Bałuty,2,295000.0,38.0,7763.0,2021-04-13,https://www.otodom.pl/pl/oferta/m3-baluty-zubardz-pelen-rozklad-okazja-ID4b0tk.html
"M3 Teofilów, Bałuty po remoncie","Bałuty, Teofilów",2,315000.0,45.0,7000.0,2021-04-13,https://www.otodom.pl/pl/oferta/m3-teofilow-baluty-po-remoncie-ID4b0qI.html
