Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Mieszkanie Janów bezpośrednio,"Widzew, Janów",4,660000.0,87.0,7586.0,2021-03-17,https://www.otodom.pl/pl/oferta/mieszkanie-janow-bezposrednio-ID4axXR.html
klimatyczne mieszkanie w kamienicy,Polesie,3,700000.0,138.0,5072.0,2021-03-17,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-w-kamienicy-ID48ZBh.html
Komfortowe mieszkanie A23 w Łodzi ul. Finansowa,Górna,5 pokoi,580013.0,118.37,4900.0,2021-03-17,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-a23-w-lodzi-ul-finansowa-ID3XBza.html
Kawalerka 31M2/5 Pięt./Umeblowana/Retkinia/Polecam,"Polesie, Retkinia",1,205000.0,31.0,6613.0,2021-03-17,https://www.otodom.pl/pl/oferta/kawalerka-31m2-5-piet-umeblowana-retkinia-polecam-ID4aCrW.html
Nieruchomość na sprzedaż,Górna,3,375000.0,59.5,6303.0,2021-03-17,https://www.otodom.pl/pl/oferta/nieruchomosc-na-sprzedaz-ID4aCrE.html
"W kamienicy pod Atlasami, ul. Narutowicza 45",Śródmieście,2,255000.0,45.0,5667.0,2021-03-17,https://www.otodom.pl/pl/oferta/w-kamienicy-pod-atlasami-ul-narutowicza-45-ID4aCrA.html
Duża kawalerka w centrum - okolice Manufaktury,Śródmieście,1,209000.0,34.69,6025.0,2021-03-17,https://www.otodom.pl/pl/oferta/duza-kawalerka-w-centrum-okolice-manufaktury-ID4aCpW.html
"Rozkładowe M4 z widokiem na Sokołówkę, Liściasta.","Bałuty, Radogoszcz",3,330000.0,60.0,5500.0,2021-03-17,https://www.otodom.pl/pl/oferta/rozkladowe-m4-z-widokiem-na-sokolowke-lisciasta-ID4aCnU.html
Mieszkanie do odświeżenia na Zarzewie,"Widzew, Zarzew",3,299000.0,54.4,5496.0,2021-03-17,https://www.otodom.pl/pl/oferta/mieszkanie-do-odswiezenia-na-zarzewie-ID4aCkP.html
"M3 49m2, Górna, blisko Śródmieście, Widzew,",Górna,2,320000.0,49.15,6511.0,2021-03-17,https://www.otodom.pl/pl/oferta/m3-49m2-gorna-blisko-srodmiescie-widzew-ID4aCkO.html
"3 sypialnie i salon + BALKON, po remoncie, centrum",Polesie,3,361000.0,87.9,4107.0,2021-03-17,https://www.otodom.pl/pl/oferta/3-sypialnie-i-salon-balkon-po-remoncie-centrum-ID4aCic.html
"Mieszkanie, 44,86, Łódź","Bałuty, Teofilów",2,258000.0,44.86,5751.0,2021-03-17,https://www.otodom.pl/pl/oferta/mieszkanie-44-86-m-lodz-ID4aChQ.html
"Rozkładowe M4, 62 m2 loggia, Bałuty",Bałuty,3,365000.0,62.0,5887.0,2021-03-17,https://www.otodom.pl/pl/oferta/rozkladowe-m4-62-m2-loggia-baluty-ID4aChN.html
"Cena do negocjacji, Mieszkanie Retkinia Łódź","Polesie, Retkinia",2,258000.0,42.23,6109.0,2021-03-17,https://www.otodom.pl/pl/oferta/cena-do-negocjacji-mieszkanie-retkinia-lodz-ID4aCb9.html
Apartament w nowej inwestycji Fuzja,Widzew,2,245000.0,33.0,7424.0,2021-03-17,https://www.otodom.pl/pl/oferta/apartament-w-nowej-inwestycji-fuzja-ID4aC6f.html
Mieszkanie w kamienicy parking i piwnica w cenie,Polesie,2,486000.0,73.3,6630.0,2021-03-17,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-parking-i-piwnica-w-cenie-ID4aC6b.html
Mieszkanie w świetnej lokalizacji Narutowicza 41,Śródmieście,2,234000.0,39.0,6000.0,2021-03-17,https://www.otodom.pl/pl/oferta/mieszkanie-w-swietnej-lokalizacji-narutowicza-41-ID4aC68.html
Mieszkanie w kamienicy w trakcie rewitalizacji,Śródmieście,2,225000.0,37.0,6081.0,2021-03-17,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-trakcie-rewitalizacji-ID4aC67.html
