Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Mieszkanie na sprzedaż na Dąbrowie przy rynku,"Górna, Dąbrowa",3,268000.0,48.2,5560.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-na-dabrowie-przy-rynku-ID4asX7.html#25075a1c82
Bezpośrednio Mieszkania Inwestycja Jaracza Centrum,Śródmieście,2,246500.0,29.0,8500.0,2021-03-12,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkania-inwestycja-jaracza-centrum-ID494N0.html#25075a1c82
"Mieszkanie, 64, Łódź",Polesie,3,379000.0,64.0,5922.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-64-m-lodz-ID48IEE.html#25075a1c82
"Kawalerka, 2p, stan deweloperski, 0%",Bałuty,1,148080.0,18.4,8048.0,2021-03-12,https://www.otodom.pl/pl/oferta/kawalerka-2p-stan-deweloperski-0-ID4axqD.html#25075a1c82
"Rozkładowe M3 z balkonem ,słoneczne, Klonowa",Bałuty,2,251000.0,43.19,5812.0,2021-03-12,https://www.otodom.pl/pl/oferta/rozkladowe-m3-z-balkonem-sloneczne-klonowa-ID4axqs.html#25075a1c82
Mieszkanie - Łódź Bałuty,Bałuty,2,238000.0,44.7,5324.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-baluty-ID4axoZ.html#25075a1c82
M3 ul.Granitowa !!!!,Górna,2,255000.0,45.43,5613.0,2021-03-12,https://www.otodom.pl/pl/oferta/m3-ul-granitowa-ID4axnr.html#25075a1c82
Piękne M na Maćka Z Bogdańca 16c 66m2 bezpośrednio,"Widzew, Janów",3,530000.0,66.6,7958.0,2021-03-12,https://www.otodom.pl/pl/oferta/piekne-m-na-macka-z-bogdanca-16c-66m2-bezposrednio-ID4axn8.html#25075a1c82
4 Radogoszcz Wschód z ogródkiem!,Bałuty,4,459000.0,74.0,6203.0,2021-03-12,https://www.otodom.pl/pl/oferta/4-pokoje-radogoszcz-wschod-z-ogrodkiem-ID4axmL.html#25075a1c82
46 m2 w Centrum Miasta | Cegła | Obok Manufaktura,Śródmieście,2,251000.0,45.85,5474.0,2021-03-12,https://www.otodom.pl/pl/oferta/46-m2-w-centrum-miasta-cegla-obok-manufaktura-ID4axmD.html#25075a1c82
"Mieszkanie, 42, Łódź",łódzkie,2,2472000.0,42.0,58857.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-42-m-lodz-ID4axkQ.html#25075a1c82
"M4, parter, Apartamenty Piłsudskiego, 0%",Widzew,3,370222.0,50.03,7400.0,2021-03-12,https://www.otodom.pl/pl/oferta/m4-parter-apartamenty-pilsudskiego-0-ID4axiA.html#25075a1c82
"Mieszkanie 51m2 - 2, piętro 10/11 Chojny","Górna, Chojny",2,299000.0,51.0,5863.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-51m2-2-pokoje-pietro-10-11-chojny-ID4axi0.html#25075a1c82
"Przestronne, M3 na Widzewie!",Widzew,2,299000.0,52.13,5736.0,2021-03-12,https://www.otodom.pl/pl/oferta/przestronne-m3-na-widzewie-ID4axhV.html#25075a1c82
Wygodna kawalerka,Górna,1,249000.0,45.0,5533.0,2021-03-12,https://www.otodom.pl/pl/oferta/wygodna-kawalerka-ID4axgT.html#25075a1c82
Apartament w centrum z windą i miejscem w garażu,Śródmieście,2,435000.0,67.46,6448.0,2021-03-12,https://www.otodom.pl/pl/oferta/apartament-w-centrum-z-winda-i-miejscem-w-garazu-ID4ax9Q.html#25075a1c82
"Mieszkanie, 115, Łódź",Śródmieście,3,25000.0,115.0,217.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-115-m-lodz-ID4ax74.html#25075a1c82
M-3 rozkładowe przy Manufakturze,"Polesie, Koziny",2,235000.0,45.31,5186.0,2021-03-12,https://www.otodom.pl/pl/oferta/m-3-rozkladowe-przy-manufakturze-ID4ax3v.html#25075a1c82
"Wyjątkowy loft u Scheiblera 150m2, 3 poziomy",Śródmieście,4,1300000.0,150.27,8651.0,2021-03-12,https://www.otodom.pl/pl/oferta/wyjatkowy-loft-u-scheiblera-150m2-3-poziomy-ID4ax2x.html#25075a1c82
Mieszkanie na 2 piętrze 38m2 ul. Traktorowa,Bałuty,2,232000.0,37.68,6157.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-na-2-pietrze-38m2-ul-traktorowa-ID4avTt.html#25075a1c82
"Mieszkanie, 63, Łódź",Bałuty,3,349000.0,63.0,5540.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-63-m-lodz-ID4avJ4.html#25075a1c82
"K .Napierskiego 7 , bez PCC , bezpośrednio","Polesie, Retkinia",1,185000.0,31.0,5968.0,2021-03-12,https://www.otodom.pl/pl/oferta/k-napierskiego-7-bez-pcc-bezposrednio-ID4avFk.html#25075a1c82
Mieszkanie M4 3-pokoje Teofilów ul. Lniana,Bałuty,3,289000.0,57.0,5070.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-m4-3-pokoje-teofilow-ul-lniana-ID4aixu.html#83305b385b
Sprzedam M-3 Łódź Górna Bezpośrenio,Górna,2,309000.0,48.5,6371.0,2021-03-12,https://www.otodom.pl/pl/oferta/sprzedam-m-3-lodz-gorna-bezposrenio-ID49QFr.html#83305b385b
Narutowicza,Śródmieście,2,223800.0,37.3,6000.0,2021-03-12,https://www.otodom.pl/pl/oferta/narutowicza-ID49te9.html#83305b385b
"Traktorowa 37 , po generalnym remoncie , bez PCC","Bałuty, Teofilów",2,220000.0,37.5,5867.0,2021-03-12,https://www.otodom.pl/pl/oferta/traktorowa-37-po-generalnym-remoncie-bez-pcc-ID4avDm.html#83305b385b
"Apartament 3 - 65,96m2, 5 piętro, Teofilów","Bałuty, Grabieniec",3,415674.0,65.96,6302.0,2021-03-12,https://www.otodom.pl/pl/oferta/apartament-3-pokoje-65-96m2-5-pietro-teofilow-ID4avBj.html#83305b385b
M3 Dąbrowa do remontu,Górna,3,268000.0,48.2,5560.0,2021-03-12,https://www.otodom.pl/pl/oferta/m3-dabrowa-do-remontu-ID4avyq.html#83305b385b
"Mieszkanie, 45, Łódź","Bałuty, Teofilów",2,258000.0,45.0,5733.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-45-m-lodz-ID4avyj.html#83305b385b
"Mieszkanie, 42, Łódź",Polesie,2,35000.0,42.0,833.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-42-m-lodz-ID4avvR.html#83305b385b
"Mieszkanie, 80,10, Łódź",Polesie,3,570000.0,80.1,7116.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-80-10-m-lodz-ID4avvt.html#83305b385b
"Mieszkanie w kamienicy, do indywidualnej aranżacji",Bałuty,2,240000.0,62.63,3832.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-do-indywidualnej-aranzacji-ID4avvp.html#83305b385b
"Trzypokojowe rozkładowe mieszkanie, Bałuty",Bałuty,3,340000.0,57.0,5965.0,2021-03-12,https://www.otodom.pl/pl/oferta/trzypokojowe-rozkladowe-mieszkanie-baluty-ID4avvk.html#83305b385b
Duża kawalerka z loggią na zamkniętym osiedlu,Śródmieście,1,279000.0,39.19,7119.0,2021-03-12,https://www.otodom.pl/pl/oferta/duza-kawalerka-z-loggia-na-zamknietym-osiedlu-ID4avs1.html#83305b385b
"Mieszkanie, 50,07, Łódź","Górna, Chojny",2,335000.0,50.07,6691.0,2021-03-12,https://www.otodom.pl/pl/oferta/mieszkanie-50-07-m-lodz-ID4avpu.html#83305b385b
Polesie 1pok/2pok niski czynsz 1p. bez prowizji,Polesie,1,19000.0,40.0,475.0,2021-03-12,https://www.otodom.pl/pl/oferta/polesie-1pok-2pok-niski-czynsz-1p-bez-prowizji-ID4avok.html#83305b385b
Polesie 2pok po remoncie niski czynsz bez prowizji,Polesie,2,30000.0,26.0,1154.0,2021-03-12,https://www.otodom.pl/pl/oferta/polesie-2pok-po-remoncie-niski-czynsz-bez-prowizji-ID4avnz.html#83305b385b
M3Chojny rozkładowe balkon bardzo dobra cena,"Górna, Chojny",2,247000.0,51.0,4843.0,2021-03-12,https://www.otodom.pl/pl/oferta/m3chojny-rozkladowe-balkon-bardzo-dobra-cena-ID4avmO.html#83305b385b
