Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Mieszkanie Łódź Olechówświetny stanZgierski TBS,Widzew Olechów,2,170000,37.88,4488,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-olechow-swietny-stan-zgierski-tbs-ID49pFW.html
Łódź - Górna- 5843m2 - 2-pokoje - BEZPOŚREDNIKÓW,Górna Chojny,2,390000,58.43,6675,08-01-2021,https://www.otodom.pl/pl/oferta/lodz-gorna-58-43m2-2-pokoje-bezposrednikow-ID44M0W.html
Mieszkanie rodzinne 4 pok.&gt;&gt; RONDO SOLIDARNOŚCI,Śródmieście,4,545872.50,80.87,6750,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-rodzinne-4-pok-rondo-solidarnosci-ID3TrFS.html
Mieszkanie 61 3 - Traktorowa,Polesie,3,379000,61,6213,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-61-m-3-pokoje-traktorowa-ID49uig.html
4 pełny rozkład 1 p. Radogoszcz Wschód!,Bałuty Radogoszcz,4,365000,63.56,5743,08-01-2021,https://www.otodom.pl/pl/oferta/4-pokoje-pelny-rozklad-1-p-radogoszcz-wschod-ID49uhX.html
Mieszkanie 6172 Łódź,Bałuty,3,310000,61.72,5023,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-61-72-m-lodz-ID49ugX.html
Mieszkanie 47 Łódź,Bałuty,2,240000,47,5106,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-lodz-ID49ugV.html
Zarezerwuj już dzisiaj !!!! 36m2 ul. Osiedlowa.,Bałuty,2,295000,36,8194,08-01-2021,https://www.otodom.pl/pl/oferta/zarezerwuj-juz-dzisiaj-36m2-ul-osiedlowa-ID49ugB.html
M-4  48 mkw w pełni rozkładowe logga Żubardź,Bałuty Żubardź,3,240000,48,5000,08-01-2021,https://www.otodom.pl/pl/oferta/m-4-48-mkw-w-pelni-rozkladowe-logga-zubardz-ID49u7h.html
Unikatowe mieszkanie 125m super lokalizacja,Śródmieście,3,670000,125,5360,08-01-2021,https://www.otodom.pl/pl/oferta/unikatowe-mieszkanie-125m-super-lokalizacja-ID49u5N.html
Łódź 4 Śródmieścieblisko Piotrkowska,Śródmieście,4,1190000,134.17,8869,08-01-2021,https://www.otodom.pl/pl/oferta/lodz-4-pokoje-srodmiescie-blisko-piotrkowska-ID49u3Z.html
2 pokbalkon2 piętroBałutyblisko Doły Julianów,Bałuty,2,290000,50.95,5692,08-01-2021,https://www.otodom.pl/pl/oferta/2-pok-balkon-2-pietro-baluty-blisko-doly-julianow-ID49u3W.html
Rozkładowe M4 57m2/ balkon/garderoba k.Manufaktury,Bałuty,3,360000,57,6316,08-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m4-57m2-balkon-garderoba-k-manufaktury-ID49tZu.html
Jasny luksusowy apartament w Centrum,Śródmieście,3,459000,71.19,6448,08-01-2021,https://www.otodom.pl/pl/oferta/jasny-luksusowy-apartament-w-centrum-ID49tZi.html
Nowoczesny apartament w świetnej lokalizacji/Centr,Śródmieście,1,305000,40.94,7450,08-01-2021,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-w-swietnej-lokalizacji-centr-ID49tZg.html
Kawalerka na Dobry Start!/Centrum,Śródmieście,1,212270,26.37,8050,08-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-na-dobry-start-centrum-ID49tZf.html
Atrakcyjne mieszkanie w centrum,Śródmieście,2,315000,48,6563,08-01-2021,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-w-centrum-ID49tVF.html
Bezpośrednio sprzedam mieszkanie 2 Łódź,Bałuty Żabieniec,2,289000,45,6422,08-01-2021,https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-mieszkanie-2-pokoje-lodz-ID49tUY.html
Mieszkanie 2 pokojowe w centrum - Włókniarzy,Polesie Stare Polesie,2,245000,37,6622,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-centrum-wlokniarzy-ID49tUI.html
Nowe bloki Atal 42m2Osiedle Zamknięte Ochrona,Polesie Retkinia,1,235000,42,5595,08-01-2021,https://www.otodom.pl/pl/oferta/nowe-bloki-atal-42m2-osiedle-zamkniete-ochrona-ID49tRO.html
Mieszkanie 37 Łódź,Śródmieście,2,43000,37,1162,08-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-37-m-lodz-ID49tQx.html
Dla rodziny lub rentiera - idealna lokalizacja!,Śródmieście,3,280000,48,5833,08-01-2021,https://www.otodom.pl/pl/oferta/dla-rodziny-lub-rentiera-idealna-lokalizacja-ID49tQc.html
