Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
M-3 4242m2 Retkinia Duży Balkon Pełny Rozkład,Polesie Retkinia,2,225 000,42.42,5 304,10-12-2020,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-duzy-balkon-pelny-rozklad-ID494y8.html#ed7b2d23ec
Mieszkanie 2 pok. Osiedle Liściasta Park,Bałuty,2,370 000,47.50,7 789,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-osiedle-lisciasta-park-ID48XJE.html#ed7b2d23ec
Do sprzedaży piękne M-3 na Janowie,Widzew Janów,2,315 000,51.30,6 140,10-12-2020,https://www.otodom.pl/pl/oferta/do-sprzedazy-piekne-m-3-na-janowie-ID48X6x.html#ed7b2d23ec
ZOBACZ FIZYCZNIE - Centrum/Widzew Teren Ogrodzony,Śródmieście,2,247 950,36.37,6 817,10-12-2020,https://www.otodom.pl/pl/oferta/zobacz-fizycznie-centrum-widzew-teren-ogrodzony-ID48VKe.html#ed7b2d23ec
M3 w pełnym rozkładzie na Bałutach,Bałuty,2,240 000,47,5 106,10-12-2020,https://www.otodom.pl/pl/oferta/m3-w-pelnym-rozkladzie-na-balutach-ID498vr.html#ed7b2d23ec
ZOBACZ FIZYCZNIE - Centrum/Widzew Teren Ogrodzony,Śródmieście,3,299 000,48.91,6 113,10-12-2020,https://www.otodom.pl/pl/oferta/zobacz-fizycznie-centrum-widzew-teren-ogrodzony-ID48VL3.html#ed7b2d23ec
M3 Polesie funkcjonalne wyposażone,łódzkie,2,278 000,46,6 043,10-12-2020,https://www.otodom.pl/pl/oferta/m3-polesie-funkcjonalne-wyposazone-ID4963o.html#ed7b2d23ec
Urokliwy Ogródek - Przestronne 3!,Widzew,3,316 802,51.02,6 209,10-12-2020,https://www.otodom.pl/pl/oferta/urokliwy-ogrodek-przestronne-3-pokoje-ID498rf.html#ed7b2d23ec
2 + Ogródek Hit! 5 min do Śródmieścia,Widzew,2,251 609,37.02,6 797,10-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-ogrodek-hit-5-min-do-srodmiescia-ID498rd.html#ed7b2d23ec
Mieszkanie 5050 Łódź,Górna Nowe Rokicie,2,215 000,50.50,4 257,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-50-50-m-lodz-ID498pA.html#ed7b2d23ec
Przytulne M3 z balkonem do własnej aranżacji,Bałuty Teofilów,2,185 000,37,5 000,10-12-2020,https://www.otodom.pl/pl/oferta/przytulne-m3-z-balkonem-do-wlasnej-aranzacji-ID498mT.html#ed7b2d23ec
Mieszknie M3 świetna lokalizacja/Widzew od zaraz,Widzew Widzew-Wschód,2,275 000,44.50,6 180,10-12-2020,https://www.otodom.pl/pl/oferta/mieszknie-m3-swietna-lokalizacja-widzew-od-zaraz-ID495Yb.html#ed7b2d23ec
Franciszkańska 139 - zielono cicho wygodnie,Bałuty,3,312 000,54.20,5 756,10-12-2020,https://www.otodom.pl/pl/oferta/franciszkanska-139-zielono-cicho-wygodnie-ID46DbN.html#ed7b2d23ec
2 37 m Zarzew przy parku,Widzew Zarzew,2,207 000,37,5 595,10-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-37-m-zarzew-przy-parku-ID48Tjk.html#ed7b2d23ec
M3 z balkonem na Teofilowie blisko dworzec PKP,Bałuty Teofilów,2,195 000,37.60,5 186,10-12-2020,https://www.otodom.pl/pl/oferta/m3-z-balkonem-na-teofilowie-blisko-dworzec-pkp-ID498kg.html#ed7b2d23ec
M3 w prywatnej kamienicy za odstępne,Śródmieście,2,69 000,54,1 278,10-12-2020,https://www.otodom.pl/pl/oferta/m3-w-prywatnej-kamienicy-za-odstepne-ID498k1.html#ed7b2d23ec
ŚWIĄTECZNA PROMOCJA . Małe z ogródkiem.,Widzew,2,259 291,36.37,7 129,10-12-2020,https://www.otodom.pl/pl/oferta/swiateczna-promocja-male-z-ogrodkiem-ID498jz.html#ed7b2d23ec
Ostatnie mieszkania Centrum ul. Rewolucji 27 Łódź,Śródmieście,2,199 000,45.39,4 384,10-12-2020,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-centrum-ul-rewolucji-27-lodz-ID492CP.html#ed7b2d23ec
Słoneczne rozkładowe 47m2 winda Łódź-Teofilów.,Bałuty Teofilów,2,279 000,47,5 936,10-12-2020,https://www.otodom.pl/pl/oferta/sloneczne-rozkladowe-47m2-winda-lodz-teofilow-ID47EWD.html#ed7b2d23ec
1,Widzew Widzew-Wschód,1,275 000,37.60,7 314,10-12-2020,https://www.otodom.pl/pl/oferta/1-pokoj-ID498dk.html#ed7b2d23ec
Rozkładowe M2 Na Kozinach,Polesie Koziny,1,185 000,37.14,4 981,10-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-m2-na-kozinach-ID498by.html#ed7b2d23ec
Mieszkanie 2 pok. Osiedle Liściasta Park,Bałuty,2,370 000,47.50,7 789,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-osiedle-lisciasta-park-ID48XJE.html#48eb315436
M 3 po kap.remonciebalkonnowe meble i Agd Park,Górna Dąbrowa,2,239 000,37,6 459,10-12-2020,https://www.otodom.pl/pl/oferta/m-3-po-kap-remoncie-balkon-nowe-meble-i-agd-park-ID4989K.html#48eb315436
Mieszkanie z oknami na woonerf przy 6 Sierpnia!,Śródmieście,2,299 000,52,5 750,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-z-oknami-na-woonerf-przy-6-sierpnia-ID4988W.html#48eb315436
Z balkonem w pełni rozkładowe,Bałuty,2,228 000,38.30,5 953,10-12-2020,https://www.otodom.pl/pl/oferta/z-balkonem-w-pelni-rozkladowe-ID4987g.html#48eb315436
Apartament 3 pok.____Hot Oferta ___Rabat 24 000,Widzew,3,329 617,50.74,6 496,10-12-2020,https://www.otodom.pl/pl/oferta/apartament-3-pok-hot-oferta-rabat-24-000-ID4982z.html#48eb315436
M3__Specjalna Hot oferta dla Państwa - Zapraszam,Śródmieście,3,353 636,52.20,6 775,10-12-2020,https://www.otodom.pl/pl/oferta/m3-specjalna-hot-oferta-dla-panstwa-zapraszam-ID4982u.html#48eb315436
Miejsce postojowe naziemne i Smart Basic w cenie!!,Śródmieście,2,294 484,40.89,7 202,10-12-2020,https://www.otodom.pl/pl/oferta/miejsce-postojowe-naziemne-i-smart-basic-w-cenie-ID4982s.html#48eb315436
Budynek z 2020 roku. Wykończone pod klucz.,Śródmieście,2,299 000,35,8 543,10-12-2020,https://www.otodom.pl/pl/oferta/budynek-z-2020-roku-wykonczone-pod-klucz-ID49800.html#48eb315436
Świeżo po remoncie 2 47 m2 z dużym balkonem,Bałuty,2,315 000,47,6 702,10-12-2020,https://www.otodom.pl/pl/oferta/swiezo-po-remoncie-2-pokoje-47-m2-z-duzym-balkonem-ID48zzQ.html#48eb315436
Świeżo po remoncie 2 47 m2 z balkonem na Ju,Bałuty Julianów,2,315 000,47,6 702,10-12-2020,https://www.otodom.pl/pl/oferta/swiezo-po-remoncie-2-pokoje-47-m2-z-balkonem-na-ju-ID48CmJ.html#48eb315436
Rozkładowe M3 na Dąbrowie! Pierwsze piętro!,Górna,2,235 000,44.13,5 325,10-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-m3-na-dabrowie-pierwsze-pietro-ID497QD.html#48eb315436
2 lub 3 z balkonem + garaż,Śródmieście,3,386 900,53,7 300,10-12-2020,https://www.otodom.pl/pl/oferta/2-lub-3-pokoje-z-balkonem-garaz-ID497OW.html#48eb315436
Mieszkanie na sprzedaż 54 mkw Łódź Widzew,Widzew,3,339 000,54.30,6 243,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-54-mkw-lodz-widzew-ID497NK.html#48eb315436
Łódź-Retkinia mieszkanie 2 pokojowebalkon loggia,Polesie Retkinia,2,260 000,42.23,6 157,10-12-2020,https://www.otodom.pl/pl/oferta/lodz-retkinia-mieszkanie-2-pokojowe-balkon-loggia-ID46Pkq.html#48eb315436
Mieszkanie 4510 Łódź,Bałuty Teofilów,2,229 000,45.10,5 078,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-45-10-m-lodz-ID497LP.html#48eb315436
5 pokoi w Centrum miasta,Polesie,5 pokoi,420 000,53,7 925,10-12-2020,https://www.otodom.pl/pl/oferta/5-pokoi-w-centrum-miasta-ID497JK.html#48eb315436
Mieszkanie M3 38 m Łódź górna- dąbrowa,Górna Dąbrowa,2,198 000,38,5 211,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m3-38-m-lodz-gorna-dabrowa-ID497dP.html#48eb315436
Sprzedam mieszkanie 2-pokojowe 10 piętro Bałuty,Bałuty,2,269 000,47,5 723,10-12-2020,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-10-pietro-baluty-ID491Ya.html#48eb315436
Rozkładowe Mieszkanie Po Generalnym Remoncie,Górna,3,325 000,50.53,6 432,10-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-po-generalnym-remoncie-ID497CZ.html#48eb315436
Rozkładowe M3 47 m2 na Bałutach,Bałuty,2,266 000,46.96,5 664,10-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-m3-47-m2-na-balutach-ID497z1.html#48eb315436
Rozkładowe M3 4816 m2 w okolicy manufaktury,Bałuty,2,245 000,48.16,5 087,10-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-m3-48-16-m2-w-okolicy-manufaktury-ID497yY.html#48eb315436
M-3 4242m2 Retkinia Duży Balkon Pełny Rozkład,Polesie Retkinia,2,225 000,42.42,5 304,10-12-2020,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-duzy-balkon-pelny-rozklad-ID494y8.html#3819427372
3 54m2 - ul. Maratońska 25,Polesie,3,290 000,54,5 370,10-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-54m2-ul-maratonska-25-ID48LE2.html#3819427372
2 Pokoje 50 m2 Teren Ogrodzony Przy Parku!,Polesie,2,330 000,49.70,6 640,10-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-50-m2-teren-ogrodzony-przy-parku-ID491YF.html#3819427372
M4 4649m2 z balkonem Karolew,Polesie,2,248 000,46.49,5 334,10-12-2020,https://www.otodom.pl/pl/oferta/m4-46-49m2-z-balkonem-karolew-ID497sc.html#3819427372
po remoncie 2 Dabrowa,Górna,2,290 000,44.50,6 517,10-12-2020,https://www.otodom.pl/pl/oferta/po-remoncie-2-pokoje-dabrowa-ID497qN.html#3819427372
EWELIN II_&gt;Nowe mieszkania 3 pokojowe,łódzkie,3,304 230,48.78,6 237,10-12-2020,https://www.otodom.pl/pl/oferta/ewelin-ii-nowe-mieszkania-3-pokojowe-ID474D9.html#3819427372
Apartament Senatorska w centrum Łodzi // 3,Górna,3,304 748,47.38,6 432,10-12-2020,https://www.otodom.pl/pl/oferta/apartament-senatorska-w-centrum-lodzi-3-pokoje-ID42fMF.html#3819427372
Apartament Senatorska w centrum Łodzi // 3,Górna,3,313 896,51.09,6 144,10-12-2020,https://www.otodom.pl/pl/oferta/apartament-senatorska-w-centrum-lodzi-3-pokoje-ID42fMX.html#3819427372
Piękne słoneczne z tarasem na oś. Majowym.,Widzew Zarzew,2,399 000,51.91,7 686,10-12-2020,https://www.otodom.pl/pl/oferta/piekne-sloneczne-z-tarasem-na-os-majowym-ID47Goy.html#3819427372
3 + widna kuchnia -&gt; obok Tramwaj,Śródmieście,3,301 229,49.04,6 143,10-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-widna-kuchnia-obok-tramwaj-ID497in.html#3819427372
3 + Duży Balkon! Hit - blisko Sukcesji,Śródmieście,3,301 416,48.04,6 274,10-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-hit-blisko-sukcesji-ID497io.html#3819427372
Mieszkanie inwestycyjne w centrum Łodzi 37 m2,Śródmieście,2,225 000,37.30,6 032,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-w-centrum-lodzi-37-m2-ID48hXJ.html#3819427372
mieszkanie 47 m Bałuty rozkładowe bezpośrednio,Bałuty,2,260 000,47,5 532,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-baluty-rozkladowe-bezposrednio-ID48PFx.html#3819427372
Piękne 3 pokojowe 54 m2 Retkinia - Maratońska,Polesie Retkinia,3,377 000,54,6 981,10-12-2020,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-54-m2-retkinia-maratonska-ID48PFT.html#3819427372
Mieszkanie w centrum Łodzi  super inwestycja!!!,Śródmieście,3,233 500,53,4 406,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-lodzi-super-inwestycja-ID47B0J.html#3819427372
M-3 Karolew częściowy rozkład!,Polesie Karolew,2,215 000,37.52,5 730,10-12-2020,https://www.otodom.pl/pl/oferta/m-3-karolew-czesciowy-rozklad-ID497gq.html#3819427372
Mieszkanie Bałuty lutomierska 55m2,Bałuty,3,319 000,55,5 800,10-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-baluty-lutomierska-55m2-ID48DdT.html#3819427372
Ogłoszenie nieaktualne,Widzew,2,229 000,37.64,6 084,10-12-2020,https://www.otodom.pl/pl/oferta/ogloszenie-nieaktualne-ID48N6w.html#3a460ec8f9
M3 - 4595m2 - Wielkopolska,Bałuty,2,260 000,45.95,5 658,10-12-2020,https://www.otodom.pl/pl/oferta/m3-45-95m2-wielkopolska-ID47z5b.html#3a460ec8f9
ok. Dworca Łódż-Kaliska,Polesie,2,206 000,37.50,5 493,10-12-2020,https://www.otodom.pl/pl/oferta/ok-dworca-lodz-kaliska-ID497ge.html#3a460ec8f9
Miejsce postojowe gratis! Rabat!,Śródmieście,3,344 200,51.77,6 649,10-12-2020,https://www.otodom.pl/pl/oferta/miejsce-postojowe-gratis-rabat-ID497cM.html#3a460ec8f9
Nowoczesne przytulne mieszkanie na Teofilowie,Bałuty Teofilów,2,283 000,45.16,6 267,10-12-2020,https://www.otodom.pl/pl/oferta/nowoczesne-przytulne-mieszkanie-na-teofilowie-ID48CcC.html#3a460ec8f9
Łódź przy Akademii Muzycznej,Polesie Stare Polesie,2,249 000,50.64,4 917,10-12-2020,https://www.otodom.pl/pl/oferta/lodz-przy-akademii-muzycznej-ID48D9P.html#3a460ec8f9
Wysoki standard. Wykończone. Budynek 2020 rok,Śródmieście,3,330 000,50,6 600,10-12-2020,https://www.otodom.pl/pl/oferta/wysoki-standard-wykonczone-budynek-2020-rok-ID4979q.html#3a460ec8f9
