Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
2 po generalnym remoncie M3 Dąbrowa,Górna,2,278000,40,6950,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-po-generalnym-remoncie-m3-dabrowa-ID49aWC.html#ed7b2d23ec
Piękne 2 po remoncie,Górna,2,255000,39,6538,23-12-2020,https://www.otodom.pl/pl/oferta/piekne-2-pokoje-po-remoncie-ID49it1.html#ed7b2d23ec
2 rozkładowe Doły,Bałuty,2,259000,45,5756,23-12-2020,https://www.otodom.pl/pl/oferta/2-rozkladowe-pokoje-doly-ID49jdh.html#ed7b2d23ec
Mieszkanie3Łódź Retkinia+wiata parkingowa,Polesie Retkinia,3,299000,52.97,5645,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-lodz-retkinia-wiata-parkingowa-ID44KOK.html#ed7b2d23ec
Wygodne mieszkanie 2-pokojowe,Bałuty Teofilów,2,245000,35,7000,23-12-2020,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-2-pokojowe-ID499fa.html#ed7b2d23ec
Wykończone 466 m2 Z WIDOKIEM NA LAS Olechów,Widzew Olechów,2,395000,46.60,8476,23-12-2020,https://www.otodom.pl/pl/oferta/wykonczone-46-6-m2-z-widokiem-na-las-olechow-ID49b2G.html#ed7b2d23ec
Wyjątkowe 38m2 blisko Manufaktury,Bałuty,2,142500,38,3750,23-12-2020,https://www.otodom.pl/pl/oferta/wyjatkowe-38m2-blisko-manufaktury-ID49iJw.html#ed7b2d23ec
M4 ul.Dąbrowskiego!!!,Górna,3,270000,48,5625,23-12-2020,https://www.otodom.pl/pl/oferta/m4-ul-dabrowskiego-ID49izU.html#ed7b2d23ec
Wyjątkowe 51m do własnej aranżacji,łódzkie,2,265000,51,5196,23-12-2020,https://www.otodom.pl/pl/oferta/wyjatkowe-51m-do-wlasnej-aranzacji-ID49ixM.html#ed7b2d23ec
Bespośrednio 2 po remoncie,Bałuty Żubardź,2,289000,44.35,6516,23-12-2020,https://www.otodom.pl/pl/oferta/besposrednio-2-pokoje-po-remoncie-ID49iyS.html#ed7b2d23ec
2 okolice Manufaktury/Piotrkowskiej,Śródmieście,2,315000,47.11,6686,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-okolice-manufaktury-piotrkowskiej-ID49h4J.html#ed7b2d23ec
mieszkanie 47 m Bałuty rozkładowe bezpośrednio,Bałuty,2,260000,47,5532,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-baluty-rozkladowe-bezposrednio-ID48PFx.html#ed7b2d23ec
Dzień otwarty 29.12 wtorek zapraszam,Bałuty,2,209000,46,4543,23-12-2020,https://www.otodom.pl/pl/oferta/dzien-otwarty-29-12-wtorek-zapraszam-ID49iwS.html#ed7b2d23ec
2 po generalnym remoncie M3 Dąbrowa,Górna,2,278000,40,6950,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-po-generalnym-remoncie-m3-dabrowa-ID49aWC.html#ed7b2d23ec
Piękne 2 po remoncie,Górna,2,255000,39,6538,23-12-2020,https://www.otodom.pl/pl/oferta/piekne-2-pokoje-po-remoncie-ID49it1.html#ed7b2d23ec
Mieszkanie 39 Łódź,Polesie,2,205000,39,5256,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-39-m-lodz-ID49iqu.html#ed7b2d23ec
Mieszkanie 3818 Łódź,Bałuty,2,242000,38.18,6338,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-38-18-m-lodz-ID49ipf.html#ed7b2d23ec
Mieszkanie3Łódź Retkinia+wiata parkingowa,Polesie Retkinia,3,299000,52.97,5645,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-lodz-retkinia-wiata-parkingowa-ID44KOK.html#48eb315436
Łódź Bałuty 3 bezpośrednio,Bałuty,3,274000,52.60,5209,23-12-2020,https://www.otodom.pl/pl/oferta/lodz-baluty-3-pokoje-bezposrednio-ID49gUM.html#48eb315436
Mieszkanie 5250 Łódź,Polesie Stare Polesie,2,236000,52.50,4495,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-52-50-m-lodz-ID49if5.html#48eb315436
2 pokojowe mieszkanie w apartamentowcu z 2017 r,łódzkie,4,349000,40,8725,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-apartamentowcu-z-2017-r-ID49idy.html#48eb315436
2 - pokojowe rozkładowe mieszkanie na Teofilowie,Bałuty Teofilów,2,235000,45,5222,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokojowe-rozkladowe-mieszkanie-na-teofilowie-ID49ib0.html#48eb315436
2 pokojowe rozkładowepo remoncie - Koziny,Polesie Koziny,2,279000,45,6200,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokojowe-rozkladowe-po-remoncie-koziny-ID49iax.html#48eb315436
Mieszkanie 38 Łódź,Bałuty,2,142000,38,3737,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-38-m-lodz-ID49cE5.html#48eb315436
M-3 Rozkładowe Balkon Loggia Winda!,łódzkie,2,230000,45.30,5077,23-12-2020,https://www.otodom.pl/pl/oferta/m-3-rozkladowe-balkon-loggia-winda-ID49i4W.html#48eb315436
Przytulne mieszkanie do własnej aranżacji,Polesie Karolew,2,250000,41.69,5997,23-12-2020,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-do-wlasnej-aranzacji-ID49hYL.html#48eb315436
Mieszkanie M-3 Widzew Elsnera Nowa Cena,Widzew,2,270000,50,5400,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m-3-widzew-elsnera-nowa-cena-ID46uZF.html#48eb315436
Piękne słoneczne z tarasem na oś. Majowym.,Widzew Zarzew,2,390000,51.91,7513,23-12-2020,https://www.otodom.pl/pl/oferta/piekne-sloneczne-z-tarasem-na-os-majowym-ID47Goy.html#48eb315436
M3 Polesie funkcjonalne wyposażone,łódzkie,2,278000,46,6043,23-12-2020,https://www.otodom.pl/pl/oferta/m3-polesie-funkcjonalne-wyposazone-ID4963o.html#48eb315436
Mieszkanie M-4 po częściowym remoncie Dąbrowa,Górna Dąbrowa,3,270000,48,5625,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m-4-po-czesciowym-remoncie-dabrowa-ID48Jtl.html#48eb315436
mieszkanie 37m2 Traktorowa,Bałuty Teofilów,2,229000,37,6189,23-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-37m2-traktorowa-ID49auP.html#48eb315436
Mieszknie M3 świetna lokalizacja/Widzew od zaraz,Widzew Widzew-Wschód,2,275000,44.50,6180,23-12-2020,https://www.otodom.pl/pl/oferta/mieszknie-m3-swietna-lokalizacja-widzew-od-zaraz-ID495Yb.html#48eb315436
Franciszkańska 139 - zielono cicho wygodnie,Bałuty,3,312000,54.20,5756,23-12-2020,https://www.otodom.pl/pl/oferta/franciszkanska-139-zielono-cicho-wygodnie-ID46DbN.html#48eb315436
Ostatnie mieszkania Centrum ul. Rewolucji 27 Łódź,Śródmieście,2,199000,45.39,4384,23-12-2020,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-centrum-ul-rewolucji-27-lodz-ID492CP.html#48eb315436
Przytulne M3 z balkonem do własnej aranżacji,Bałuty Teofilów,2,185000,37,5000,23-12-2020,https://www.otodom.pl/pl/oferta/przytulne-m3-z-balkonem-do-wlasnej-aranzacji-ID498mT.html#48eb315436
M-3 z widokiem na piękną panoramę miasta,Górna Chojny,2,239000,45.83,5215,23-12-2020,https://www.otodom.pl/pl/oferta/m-3-z-widokiem-na-piekna-panorame-miasta-ID49bbl.html#48eb315436
M3 z balkonem na Teofilowie blisko dworzec PKP,Bałuty Teofilów,2,195000,37.60,5186,23-12-2020,https://www.otodom.pl/pl/oferta/m3-z-balkonem-na-teofilowie-blisko-dworzec-pkp-ID498kg.html#48eb315436
2-Pokojowe Limanowskiego/Al.Włókniarzy !,Bałuty,2,246000,44.82,5489,23-12-2020,https://www.otodom.pl/pl/oferta/2-pokojowe-limanowskiego-al-wlokniarzy-ID49hIL.html#48eb315436
466 m2 II piętro blok z cegły do remontu,Górna,2,220000,46.60,4721,23-12-2020,https://www.otodom.pl/pl/oferta/46-6-m2-ii-pietro-blok-z-cegly-do-remontu-ID48Gop.html#3819427372
Łódź przy Akademii Muzycznej,Polesie Stare Polesie,2,249000,50.64,4917,23-12-2020,https://www.otodom.pl/pl/oferta/lodz-przy-akademii-muzycznej-ID48D9P.html#3819427372
M-3 4242m2 Retkinia Duży Balkon Pełny Rozkład,Polesie Retkinia,2,225000,42.42,5304,23-12-2020,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-duzy-balkon-pelny-rozklad-ID494y8.html#3819427372
Okazja cena do końca roku!!! Nie przegap! Centrum!,Górna,3,315469,46,6858,23-12-2020,https://www.otodom.pl/pl/oferta/okazja-cena-do-konca-roku-nie-przegap-centrum-ID48fsd.html#3819427372
