Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
3 pokojowe mieszkanie 53m2 Retkinia - Maratońska,Polesie Retkinia,3,339000,53,6396,29-12-2020,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-53m2-retkinia-maratonska-ID49g7X.html#25075a1c82
Przestronne mieszkanie po remoncie,Bałuty,2,345000,60,5750,29-12-2020,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-po-remoncie-ID493OP.html#25075a1c82
EWELIN II_&gt;Nowe mieszkania 3 pokojowe,łódzkie,3,304230,48.78,6237,29-12-2020,https://www.otodom.pl/pl/oferta/ewelin-ii-nowe-mieszkania-3-pokojowe-ID474D9.html#25075a1c82
Atrakcyjne mieszkanie 50m2 w Centrum,Śródmieście,2,300000,50,6000,29-12-2020,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-50m2-w-centrum-ID49lUg.html#25075a1c82
M-4 71m2 Retkinia Botanik Balkon Loggia,Polesie Retkinia,3,393000,71,5535,29-12-2020,https://www.otodom.pl/pl/oferta/m-4-71m2-retkinia-botanik-balkon-loggia-ID49lRt.html#25075a1c82
Apartament 2018r.//Pachnący Świeżością – 3x balkon,Polesie,3,565000,73.07,7732,29-12-2020,https://www.otodom.pl/pl/oferta/apartament-2018r-pachnacy-swiezoscia-3x-balkon-ID49lKO.html#25075a1c82
Apartament/ Taras25m2/ Włoski Marmur/ter ogrodzony,Śródmieście,3,497000,73.43,6768,29-12-2020,https://www.otodom.pl/pl/oferta/apartament-taras25m2-wloski-marmur-ter-ogrodzony-ID49lFN.html#25075a1c82
Na sprzedaż mieszkanie 2 pokojowego przy ul.Sporna,Bałuty,2,249000,50.25,4955,29-12-2020,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-2-pokojowego-przy-ul-sporna-ID49lDW.html#25075a1c82
2 pokojowe mieszkanie stan deweloperski Okazja,Górna Chojny,1,265500,37.94,6998,29-12-2020,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-stan-deweloperski-okazja-ID49lAM.html#25075a1c82
Na sprzedaż kawalerka w stanie deweloperskim.Chojn,Górna Chojny,1,265500,37.94,6998,29-12-2020,https://www.otodom.pl/pl/oferta/na-sprzedaz-kawalerka-w-stanie-deweloperskim-chojn-ID49lz2.html#25075a1c82
M3 ok. Politechniki IIp. cegła,Górna,2,320000,47.65,6716,29-12-2020,https://www.otodom.pl/pl/oferta/m3-ok-politechniki-iip-cegla-ID49lyK.html#25075a1c82
MANUFAKTURA - kawalerki z balkonami - NOWY BLOK,Śródmieście,1,172000,25.21,6823,29-12-2020,https://www.otodom.pl/pl/oferta/manufaktura-kawalerki-z-balkonami-nowy-blok-ID49lyI.html#25075a1c82
Na sprzedaż kawalerka w Chojny Park Okazja !!,Górna Chojny,1,203000,29.03,6993,29-12-2020,https://www.otodom.pl/pl/oferta/na-sprzedaz-kawalerka-w-chojny-park-okazja-ID49lvh.html#25075a1c82
Klimatyczne w bloku z cegły. Ul. Cieszyńska 18,Górna,2,305000,42,7262,29-12-2020,https://www.otodom.pl/pl/oferta/klimatyczne-w-bloku-z-cegly-ul-cieszynska-18-ID49lt3.html#25075a1c82
Sporna/Woj Polskiego. bezpośrednio,Bałuty,3,475000,80,5938,29-12-2020,https://www.otodom.pl/pl/oferta/sporna-woj-polskiego-bezposrednio-ID49lpE.html#25075a1c82
Mieszkanie 13305 Łódź,Bałuty,4,1024000,133.05,7696,29-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-133-05-m-lodz-ID49lpz.html#25075a1c82
Mieszkanie 4737 Łódź,Widzew,2,330000,47.37,6966,29-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-47-37-m-lodz-ID49loa.html#25075a1c82
2-pokojowe mieszkanie osiedle PRIMO Nowe Centrum,Śródmieście,2,352632,41.98,8400,29-12-2020,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-osiedle-primo-nowe-centrum-ID49ll7.html#25075a1c82
M2/M-3 skandynawskie Retkinia Karolew,Polesie Karolew,2,237000,31,7645,29-12-2020,https://www.otodom.pl/pl/oferta/m2-m-3-skandynawskie-retkinia-karolew-ID49lhZ.html#25075a1c82
Apartament 65 m2 Primo Wysoki standard,Śródmieście,3,730000,65,11231,29-12-2020,https://www.otodom.pl/pl/oferta/apartament-65-m2-primo-wysoki-standard-ID49lhl.html#25075a1c82
M-3 38 mkw Dąbrowa ul. Podgórna,Górna Dąbrowa,2,185000,38,4868,29-12-2020,https://www.otodom.pl/pl/oferta/m-3-38-mkw-dabrowa-ul-podgorna-ID49lfO.html#25075a1c82
