Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
luksusowe 2 w prestiżowej kamienicy,Polesie,2,486000,73.30,6630,03-01-2021,https://www.otodom.pl/pl/oferta/luksusowe-2-pokoje-w-prestizowej-kamienicy-ID48ZBj.html
Mieszkanie 51m2 2 taras DUŻY GARAŻ,Górna,2,357000,51.12,6984,03-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-51m2-2-pokoje-taras-duzy-garaz-ID48V7L.html
M-4 blisko Manufaktury,Polesie Koziny,3,295000,56.60,5212,03-01-2021,https://www.otodom.pl/pl/oferta/m-4-blisko-manufaktury-ID49ohX.html
Zadbane mieszkanie do wprowadzenia od zaraz,Bałuty,2,260000,47,5532,03-01-2021,https://www.otodom.pl/pl/oferta/zadbane-mieszkanie-do-wprowadzenia-od-zaraz-ID49oau.html
Nowe bloki Atal 46m2 Zamknięte osiedle Ochrona,Polesie Retkinia,1,239000,46,5196,03-01-2021,https://www.otodom.pl/pl/oferta/nowe-bloki-atal-46m2-zamkniete-osiedle-ochrona-ID49o95.html
Nowoczesne M-3 po remoncie Teofilów BEZPOŚREDNIO,Bałuty Teofilów,2,278000,45,6178,03-01-2021,https://www.otodom.pl/pl/oferta/nowoczesne-m-3-po-remoncie-teofilow-bezposrednio-ID49o5N.html
Mieszkanie 63 Łódź,Bałuty,3,385000,63,6111,03-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-63-m-lodz-ID49o40.html
Mieszkanie 2pokoje + kuchnia - Zawiszy Czarnego,Bałuty,2,320000,58.90,5433,03-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2pokoje-kuchnia-zawiszy-czarnego-ID49o3u.html
Łódź Teofilów mieszkanie m4 sprzedam BEZPOŚREDNIO,Bałuty Teofilów,3,305000,57,5351,03-01-2021,https://www.otodom.pl/pl/oferta/lodz-teofilow-mieszkanie-m4-sprzedam-bezposrednio-ID49o36.html
Mieszkanie z 30 m2 tarasem,Bałuty,2,460000,63.34,7262,03-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-z-30-m2-tarasem-ID49nXg.html
Na sprzedaż Kawalerka w świetnej lokalizacji !,Śródmieście,2,283999,38.33,7409,03-01-2021,https://www.otodom.pl/pl/oferta/na-sprzedaz-kawalerka-w-swietnej-lokalizacji-ID49nVx.html
