Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Duża kawalerka z loggią w Centrum nowe budownictwo,"Polesie, Stare Polesie",1,250000.0,30.0,8333.0,2021-03-09,https://www.otodom.pl/pl/oferta/duza-kawalerka-z-loggia-w-centrum-nowe-budownictwo-ID4aqN2.html#25075a1c82
"taras 52 m2, 2 miejsca parkingowe, 2011 rok,",Polesie,2,480000.0,59.8,8027.0,2021-03-09,https://www.otodom.pl/pl/oferta/taras-52-m2-2-miejsca-parkingowe-2011-rok-ID4alse.html#25075a1c82
Rozkładowe M3 3 piętro WINDA ul .Marynarska KW,Bałuty,2,238000.0,49.0,4857.0,2021-03-09,https://www.otodom.pl/pl/oferta/rozkladowe-m3-3-pietro-winda-ul-marynarska-kw-ID4ag82.html#25075a1c82
"Blisko parku, teatru muzycznego,uniwerstetu - 31m2",Śródmieście,1,219000.0,31.83,6880.0,2021-03-09,https://www.otodom.pl/pl/oferta/blisko-parku-teatru-muzycznego-uniwerstetu-31m2-ID4atxE.html#25075a1c82
"Mieszkanie M3,51m2 Górna, Kurczaki blisko Chojny","Górna, Kurczaki",2,299000.0,51.0,5863.0,2021-03-09,https://www.otodom.pl/pl/oferta/mieszkanie-m3-51m2-gorna-kurczaki-blisko-chojny-ID4atxD.html#25075a1c82
"Mieszkanie, 56,45, Łódź",Górna,3,345000.0,56.45,6112.0,2021-03-09,https://www.otodom.pl/pl/oferta/mieszkanie-56-45-m-lodz-ID4atvl.html#25075a1c82
Słoneczne M4/63M2/2 P/ Okolice Manufaktury Polecam,Bałuty,3,349000.0,63.0,5540.0,2021-03-09,https://www.otodom.pl/pl/oferta/sloneczne-m4-63m2-2-p-okolice-manufaktury-polecam-ID4atwO.html#25075a1c82
Apartement w Centrum Łodzi! Przy Katedrze,Śródmieście,3,439000.0,99.23,4424.0,2021-03-09,https://www.otodom.pl/pl/oferta/apartement-w-centrum-lodzi-przy-katedrze-ID4atrZ.html#25075a1c82
"3 Pokoje, Atrakcyjna Lokalizacja","Górna, Dąbrowa",3,268000.0,48.2,5560.0,2021-03-09,https://www.otodom.pl/pl/oferta/3-pokoje-atrakcyjna-lokalizacja-ID4atrO.html#25075a1c82
M4-Łódź-Śródmieście,Śródmieście,3,325000.0,58.0,5603.0,2021-03-09,https://www.otodom.pl/pl/oferta/m4-lodz-srodmiescie-ID4atqq.html#25075a1c82
Mieszkanie w dobrej lokalizacji pod wynajem,Bałuty,1,105000.0,24.0,4375.0,2021-03-09,https://www.otodom.pl/pl/oferta/mieszkanie-w-dobrej-lokalizacji-pod-wynajem-ID4atkO.html#25075a1c82
Świetny wybór dla rodziny!,Bałuty,3,440000.0,69.7,6313.0,2021-03-09,https://www.otodom.pl/pl/oferta/swietny-wybor-dla-rodziny-ID4atiP.html#25075a1c82
"Mieszkanie, 30, Łódź",Śródmieście,1,255000.0,30.0,8500.0,2021-03-09,https://www.otodom.pl/pl/oferta/mieszkanie-30-m-lodz-ID4atfs.html#25075a1c82
ciche/ niski blok,"Bałuty, Teofilów",3,275000.0,52.56,5232.0,2021-03-09,https://www.otodom.pl/pl/oferta/ciche-niski-blok-ID4ateX.html#25075a1c82
Dwupokojowe mieszkanie w centrum,Śródmieście,2,32000.0,53.0,604.0,2021-03-09,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-centrum-ID4atet.html#25075a1c82
"Okazja! M3 37,50 m2, parter Teofilów z potencjałem","Bałuty, Teofilów",2,210000.0,37.5,5600.0,2021-03-09,https://www.otodom.pl/pl/oferta/okazja-m3-37-50-m2-parter-teofilow-z-potencjalem-ID4atch.html#25075a1c82
"Mieszkanie 27m2, Łódź Retkińska",łódzkie,1,205000.0,27.0,7593.0,2021-03-09,https://www.otodom.pl/pl/oferta/mieszkanie-27m2-lodz-retkinska-ID4ataY.html#25075a1c82
Rozkładowe M4/57M2/Balkon/2 Pięt/Przy Parku/Bałuty,Bałuty,3,299000.0,57.0,5246.0,2021-03-09,https://www.otodom.pl/pl/oferta/rozkladowe-m4-57m2-balkon-2-piet-przy-parku-baluty-ID4at9Y.html#25075a1c82
