Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Link do ogłoszenia
Rabat 20 Tysięcy ! Politechnika Łódzka centrum,Polesie Retkinia,3,329 000,51,6 451,https://www.otodom.pl/pl/oferta/rabat-20-tysiecy-politechnika-lodzka-centrum-ID48WNy.html#f7e392bc96
Łódź Sienkiewicza 53 Piotrkowska bez PCC,Śródmieście,2,370 000,46,8 043,https://www.otodom.pl/oferta/lodz-sienkiewicza-53-piotrkowska-bez-pcc-ID48Xgh.html#3a5de6f119
Rabat 20 Tysięcy | 2 balkony| Blisko centrum,Polesie Retkinia,3,312 334,44.91,6 955,https://www.otodom.pl/pl/oferta/rabat-20-tysiecy-2-balkony-blisko-centrum-ID48VXr.html#3a5de6f119
Mieszkanie po remoncie na Teofilowie,Bałuty,2,237 000,38,6 237,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-na-teofilowie-ID492kn.html#3a5de6f119
M4 47m2 z balkonem Dąbrowa,Górna Dąbrowa,3,289 000,47,6 149,https://www.otodom.pl/pl/oferta/m4-47m2-z-balkonem-dabrowa-ID492k6.html#3a5de6f119
Mieszkanie 39 m na Dołach,Bałuty Doły,2,220 000,39,5 641,https://www.otodom.pl/pl/oferta/mieszkanie-39-m-na-dolach-ID481jz.html#3a5de6f119
Mieszkanie w doskonałej lokalizacji,Widzew,2,224 000,35,6 400,https://www.otodom.pl/oferta/mieszkanie-w-doskonalej-lokalizacji-ID492iq.html#3a5de6f119
Blisko stacji Łódź Widzew ciche miejsce 1 piętro,Widzew,1,275 000,37.50,7 333,https://www.otodom.pl/oferta/blisko-stacji-lodz-widzew-ciche-miejsce-1-pietro-ID492gg.html#3a5de6f119
Sprzedam Mieszkanie Łódź Bałuty,Bałuty,2,260 000,47,5 532,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-lodz-baluty-ID492e2.html#3a5de6f119
M4 rozkładowe balkon Dąbrowa.,Widzew Zarzew,3,249 000,48,5 188,https://www.otodom.pl/oferta/m4-rozkladowe-pokoje-balkon-dabrowa-ID492b8.html#3a5de6f119
Przyjemne mieszkanie po remoncie!,Bałuty,2,237 000,38,6 237,https://www.otodom.pl/oferta/przyjemne-mieszkanie-po-remoncie-ID492a6.html#3a5de6f119
W pełni wyposażone 2 54m2 obok Manufaktury,Śródmieście,2,339 000,54,6 278,https://www.otodom.pl/pl/oferta/w-pelni-wyposazone-2-pokoje-54m2-obok-manufaktury-ID48fUh.html#3a5de6f119
Przytulne 3 Radogoszcz,Bałuty Radogoszcz,3,319 000,52.97,6 022,https://www.otodom.pl/pl/oferta/przytulne-3-pokoje-radogoszcz-ID48nd9.html#3a5de6f119
Komfortowa przestrzeń w loftowym stylu,Górna,3,327 600,54.60,6 000,https://www.otodom.pl/oferta/komfortowa-przestrzen-w-loftowym-stylu-ID4921G.html#3a5de6f119
Nowe mieszkanie blisko centrum,Widzew,3,365 014,52.52,6 950,https://www.otodom.pl/oferta/nowe-mieszkanie-blisko-centrum-ID491YH.html#3a5de6f119
2 Pokoje Parter Okolice Manufaktury 38m2,Bałuty,2,210 000,37.48,5 603,https://www.otodom.pl/pl/oferta/2-pokoje-parter-okolice-manufaktury-38m2-ID491YG.html#3a5de6f119
2 Pokoje 50 m2 Teren Ogrodzony Przy Parku!,Polesie,2,330 000,49.70,6 640,https://www.otodom.pl/pl/oferta/2-pokoje-50-m2-teren-ogrodzony-przy-parku-ID491YF.html#3a5de6f119
STACJA ŁÓDŹ- mieszkanie 2 ETAP II,Górna,2,271 500,44.88,6 049,https://www.otodom.pl/oferta/stacja-lodz-mieszkanie-2-pokoje-etap-ii-ID491Tg.html#3a5de6f119
Lokata w dobie COVID!!! Kup teraz sprzed za rok!!!,Górna,2,283 214,42,6 743,https://www.otodom.pl/pl/oferta/lokata-w-dobie-covid-kup-teraz-sprzed-za-rok-ID48fpf.html#3a5de6f119
M-3 43 mkw po remoncie Teofilów,Bałuty Teofilów,2,239 000,43,5 558,https://www.otodom.pl/oferta/m-3-43-mkw-po-remoncie-teofilow-ID491Ol.html#3a5de6f119
Mieszkanie M-3 Dąbrowa,Górna,2,210 000,37,5 676,https://www.otodom.pl/oferta/mieszkanie-m-3-dabrowa-ID491KI.html#3a5de6f119
M4Dąbrowa po remoncie balkon do megocjacji,Górna Dąbrowa,3,249 000,48,5 188,https://www.otodom.pl/pl/oferta/m4dabrowa-po-remoncie-balkon-do-megocjacji-ID491DS.html#3a5de6f119
Zadbane mieszkanie do wprowadzenia od zaraz,Bałuty,2,260 000,47,5 532,https://www.otodom.pl/pl/oferta/zadbane-mieszkanie-do-wprowadzenia-od-zaraz-ID491Cy.html#3a5de6f119
M-3 rozkładowe Dąbrowa!!,Górna Dąbrowa,2,245 000,39.66,6 178,https://www.otodom.pl/oferta/m-3-rozkladowe-dabrowa-ID491AX.html#3a5de6f119
2-pokojowe mieszkanie Łódź Bałuty Doły,Bałuty,2,297 000,41.18,7 212,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-lodz-baluty-doly-ID45lVq.html#ecff3d1cad
3 pok. apartamentowiec wysoki standard wykończenia,Górna,3,424 000,53.08,7 988,https://www.otodom.pl/oferta/3-pok-apartamentowiec-wysoki-standard-wykonczenia-ID48hVM.html#ecff3d1cad
M-3 na Bałutach - przy ul. Łagiewnickiej,Bałuty,2,275 000,45,6 111,https://www.otodom.pl/pl/oferta/m-3-na-balutach-przy-ul-lagiewnickiej-ID491z5.html#ecff3d1cad
Mieszkanie Nowe stan deweloperski Łódź,Polesie,3,335 000,49.60,6 754,https://www.otodom.pl/pl/oferta/mieszkanie-nowe-stan-deweloperski-lodz-ID48gm8.html#ecff3d1cad
Łódź Śródmieście Wierzbowa M3 51m2 po remoncie,Śródmieście,2,399 000,51,7 824,https://www.otodom.pl/pl/oferta/lodz-srodmiescie-wierzbowa-m3-51m2-po-remoncie-ID491to.html#ecff3d1cad
Teofilów M3 38m2 /I piętro po remocie Polecam,Bałuty Teofilów,2,254 985,38,6 710,https://www.otodom.pl/oferta/teofilow-m3-38m2-i-pietro-po-remocie-polecam-ID491pS.html#ecff3d1cad
Mieszkanie M4 - 3 + kuchnia - Dąbrowa,Górna Dąbrowa,3,340 000,55,6 182,https://www.otodom.pl/pl/oferta/mieszkanie-m4-3-pokoje-kuchnia-dabrowa-ID491op.html#ecff3d1cad
Sprzedam M4 po kapitalnym remoncie na Dąbrowie,Górna,3,310 000,47.22,6 565,https://www.otodom.pl/oferta/sprzedam-m4-po-kapitalnym-remoncie-na-dabrowie-ID491lL.html#ecff3d1cad
M3 37m2/parter/Teofilów do wprowadzenia Polecam,Bałuty Teofilów,2,239 000,36.64,6 523,https://www.otodom.pl/oferta/m3-37m2-parter-teofilow-do-wprowadzenia-polecam-ID491ly.html#ecff3d1cad
Rozkładowe 2 z balkonem w sąsiedstwie Lasu,Widzew,2,290 000,51.12,5 673,https://www.otodom.pl/oferta/rozkladowe-2-pokoje-z-balkonem-w-sasiedstwie-lasu-ID491kw.html#ecff3d1cad
Żubardź M3/38 m2 parter po remoncie Polecam!,Bałuty Żubardź,2,259 000,38,6 816,https://www.otodom.pl/oferta/zubardz-m3-38-m2-parter-po-remoncie-polecam-ID491j6.html#ecff3d1cad
Nowe M2 w bliskim centrum.,Śródmieście,2,300 658,41.47,7 250,https://www.otodom.pl/oferta/nowe-m2-w-bliskim-centrum-ID491en.html#ecff3d1cad
Nowe mieszkanie blisko centrum,Widzew,3,345 207,50.03,6 900,https://www.otodom.pl/oferta/nowe-mieszkanie-blisko-centrum-ID491ef.html#ecff3d1cad
M3 po generalnym remoncie !!,Górna,2,330 000,43.19,7 641,https://www.otodom.pl/oferta/m3-po-generalnym-remoncie-ID48p7a.html#ecff3d1cad
Rozkładowe M3/45m2 Żubardź po generalny remoncie,Bałuty Żubardź,2,288 000,45.13,6 382,https://www.otodom.pl/pl/oferta/rozkladowe-m3-45m2-zubardz-po-generalny-remoncie-ID4917h.html#ecff3d1cad
Najtańsza trójka&gt;Rabat,Śródmieście,3,315 899,45.18,6 992,https://www.otodom.pl/pl/oferta/najtansza-trojkarabat-ID4913b.html#ecff3d1cad
Mieszkanie idealne&gt;Tera rabat,Śródmieście,3,320 687,47.75,6 716,https://www.otodom.pl/pl/oferta/mieszkanie-idealnetera-rabat-ID49130.html#ecff3d1cad
Mieszkanie po remoncie na sprzedaż Łódź Stoki,łódzkie,3,260 000,50,5 200,https://www.otodom.pl/oferta/mieszkanie-po-remoncie-na-sprzedaz-lodz-stoki-ID490Nu.html#ecff3d1cad
Mieszkanie na sprzedaż Łódź Górna,Górna,3,310 000,51.92,5 971,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-lodz-gorna-ID490Ly.html#ecff3d1cad
Mieszkanie 2 pokojowe w centrum miasta z garażem,Polesie,2,320 000,42.84,7 470,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-centrum-miasta-z-garazem-ID490L8.html#ecff3d1cad
M4 Łódź-Polesie-Retkinia,Polesie Retkinia,3,315 000,53,5 943,https://www.otodom.pl/pl/oferta/m4-lodz-polesie-retkinia-ID490K4.html#ecff3d1cad
PŁATNOŚĆ 10/90 Nowe apartamenty BAŁUTY/TEOFILÓW,Bałuty,2,250 059,40.66,6 150,https://www.otodom.pl/pl/oferta/platnosc-10-90-nowe-apartamenty-baluty-teofilow-ID48Jr1.html#ecff3d1cad
PŁATNOŚĆ 10/90 Nowe apartamenty BAŁUTY/TEOFILÓW,Bałuty,3,309 392,50.27,6 155,https://www.otodom.pl/oferta/platnosc-10-90-nowe-apartamenty-baluty-teofilow-ID48Jrq.html#ecff3d1cad
Rozkładowe M3 teren ogrodzony Rondo Lotników,Górna,2,223 000,46,4 848,https://www.otodom.pl/pl/oferta/rozkladowe-m3-teren-ogrodzony-rondo-lotnikow-ID48UNQ.html#ecff3d1cad
Mieszkanie po remoncie Łódź Śródmieście,Śródmieście,2,215 000,43.50,4 943,https://www.otodom.pl/oferta/mieszkanie-po-remoncie-lodz-srodmiescie-ID490Hi.html#ecff3d1cad
M-3 4242m2 Retkinia Duży Balkon Pełny Rozkład,Polesie Retkinia,2,225 000,42.42,5 304,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-duzy-balkon-pelny-rozklad-ID494y8.html#9860b153d9
Ostatnie mieszkania Centrum ul. Rewolucji 27 Łódź,Śródmieście,2,199 000,45.39,4 384,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-centrum-ul-rewolucji-27-lodz-ID492CP.html#9860b153d9
Mieszkanie - Łódź,łódzkie,2,249 000,49.90,4 990,https://www.otodom.pl/oferta/mieszkanie-lodz-ID490H8.html#9860b153d9
Mieszkanie A1.M.34 Łódź Śródmieście5188m2,Śródmieście,1,352 784,51.88,6 800,https://www.otodom.pl/oferta/mieszkanie-a1-m-34-lodz-srodmiescie-51-88m2-ID3FHgc.html#9860b153d9
Nowe mieszkania 2 pokojowe w inwestycji Ewelin II,łódzkie,2,257 676,39.90,6 458,https://www.otodom.pl/oferta/nowe-mieszkania-2-pokojowe-w-inwestycji-ewelin-ii-ID474AP.html#9860b153d9
M-3 (4655)ul.Grabieniec Teofilów5piętro,Bałuty,2,260 000,46.55,5 585,https://www.otodom.pl/pl/oferta/m-3-46-55ul-grabieniec-teofilow-5pietro-ID490FK.html#9860b153d9
Mieszkanie - Łódź,łódzkie,2,249 000,49.90,4 990,https://www.otodom.pl/oferta/mieszkanie-lodz-ID490AN.html#9860b153d9
M3 Zarzew ul.Tyrmanda,Widzew Zarzew,2,209 000,37,5 649,https://www.otodom.pl/pl/oferta/m3-zarzew-ul-tyrmanda-ID490p2.html#9860b153d9
Apartamenty Plażowa przy Stawach Stefańskiego,Górna,2,372 600,54,6 900,https://www.otodom.pl/pl/oferta/apartamenty-plazowa-przy-stawach-stefanskiego-ID46osM.html#9860b153d9
2 na parterze-do wprowadzenia Bałuty,Bałuty,2,226 000,38.30,5 901,https://www.otodom.pl/oferta/2-pokoje-na-parterze-do-wprowadzenia-baluty-ID490ke.html#9860b153d9
REWOLUCJI 69 - Centrum - 1 - 4pok - garaż/ komórka,Śródmieście,2,277 563,38.82,7 150,https://www.otodom.pl/oferta/rewolucji-69-centrum-1-4pok-garaz-komorka-ID490i2.html#9860b153d9
Blisko centrum 2 2007 r. na sprzedaż,Widzew,2,332 000,48,6 917,https://www.otodom.pl/pl/oferta/blisko-centrum-2-pokoje-2007-r-na-sprzedaz-ID490hw.html#9860b153d9
M3 z balkonem w spokojnej okolicy blisko centrum,Polesie Karolew,2,250 000,48,5 208,https://www.otodom.pl/pl/oferta/m3-z-balkonem-w-spokojnej-okolicy-blisko-centrum-ID47W4f.html#9860b153d9
Świetna lokalizacja! Bez Pcc! Taras z ogródkiem!,Widzew,3,315 000,51,6 176,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-bez-pcc-taras-z-ogrodkiem-ID490eu.html#9860b153d9
Idealna inwestycja! Bez prowizji! Studenckie M2!,Widzew,2,250 000,35,7 143,https://www.otodom.pl/oferta/idealna-inwestycja-bez-prowizji-studenckie-m2-ID490ep.html#9860b153d9
10 min do Centrum obok parku liczne sklepy,Widzew,2,285 900,38.70,7 388,https://www.otodom.pl/pl/oferta/10-min-do-centrum-obok-parku-liczne-sklepy-ID490eo.html#9860b153d9
Nowe mieszkanie 1 pokojowe przy Ogrodowej Office,Śródmieście,1,290 776,38.26,7 600,https://www.otodom.pl/oferta/nowe-mieszkanie-1-pokojowe-przy-ogrodowej-office-ID45SUV.html#9860b153d9
Inwestycyjne mieszkanie 2pok. przy Manufakturze,Śródmieście,2,299 963,37.97,7 900,https://www.otodom.pl/oferta/inwestycyjne-mieszkanie-2pok-przy-manufakturze-ID45SWD.html#9860b153d9
*rezerwacja* Przytulne dwa na Dąbrowie,Górna Dąbrowa,2,195 000,36.32,5 369,https://www.otodom.pl/oferta/rezerwacja-przytulne-dwa-pokoje-na-dabrowie-ID490bt.html#9860b153d9
ODDANY APARTAMENT - UPW w tym roku/ cele podatkowe,Śródmieście,3,353 448,49.09,7 200,https://www.otodom.pl/pl/oferta/oddany-apartament-upw-w-tym-roku-cele-podatkowe-ID490ba.html#9860b153d9
❗️Mieszkanie 2 ŁÓDŹ -ZARZEW❗️,Widzew Zarzew,2,200 000,36.24,5 519,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-lodz-zarzew-ID4902T.html#9860b153d9
2 pokojowe mieszkanie w TBS  ul. Nawrot,Śródmieście,2,149 000,50,2 980,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-tbs-ul-nawrot-ID48TJv.html#9860b153d9
M3 Teofilów - widok na park,Bałuty Teofilów,2,265 000,46.55,5 693,https://www.otodom.pl/oferta/m3-teofilow-widok-na-park-ID4902u.html#9860b153d9
Nowe M3 375m2 pierwsze piętro po generalce,Bałuty Teofilów,2,255 000,37.50,6 800,https://www.otodom.pl/oferta/nowe-m3-37-5m2-pierwsze-pietro-po-generalce-ID4900T.html#9860b153d9
Piękne M3 375m2 po całkowitym remoncie,Bałuty Teofilów,2,246 000,37.50,6 560,https://www.otodom.pl/oferta/piekne-m3-37-5m2-po-calkowitym-remoncie-ID4900R.html#9860b153d9
M3 Górna,Górna,2,172 000,36,4 778,https://www.otodom.pl/pl/oferta/m3-gorna-ID48K65.html#6797e79907
Nowoczesne mieszkanie w apartamentowcu,Górna,2,382 000,47,8 128,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-w-apartamentowcu-ID4900Q.html#6797e79907
M3 retkinia po remoncie 425m2 winda loggia,Polesie Retkinia,2,264 000,42.42,6 223,https://www.otodom.pl/pl/oferta/m3-retkinia-po-remoncie-42-5m2-winda-loggia-ID4900P.html#6797e79907
Rozkładowe M3 375m2 po remoncie ok. Manufaktury,Bałuty,2,239 000,37.50,6 373,https://www.otodom.pl/oferta/rozkladowe-m3-37-5m2-po-remoncie-ok-manufaktury-ID48ZU3.html#6797e79907
M3Julianów pełen rozkład po remoncie super cena,Bałuty Julianów,2,279 000,50,5 580,https://www.otodom.pl/oferta/m3julianow-pelen-rozklad-po-remoncie-super-cena-ID48ZKc.html#6797e79907
Mieszkanie - Łódź Śródmieście,Śródmieście,2,375 000,52,7 212,https://www.otodom.pl/oferta/mieszkanie-lodz-srodmiescie-ID48ZIQ.html#6797e79907
Atrakcyjne mieszkanie w Centrum Łodzi,Śródmieście,2,375 000,51.57,7 272,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-w-centrum-lodzi-ID48mOG.html#6797e79907
Przytula kawalerka z tarasem i wyjściem do ogrodu,Bałuty,1,270 000,40.60,6 650,https://www.otodom.pl/oferta/przytula-kawalerka-z-tarasem-i-wyjsciem-do-ogrodu-ID48ZEM.html#6797e79907
M3 Łódź-Górna-Nowe Rokicie,Górna,2,215 000,36,5 972,https://www.otodom.pl/pl/oferta/m3-lodz-gorna-nowe-rokicie-ID48ZEG.html#6797e79907
3 w Doskonałej Lokalizacji - Bezpośrednio!,Polesie,3,306 698,49.22,6 231,https://www.otodom.pl/oferta/3-pokoje-w-doskonalej-lokalizacji-bezposrednio-ID48ZBz.html#6797e79907
2 w apartamentowcu na Bałutach,Bałuty,2,253 000,44,5 750,https://www.otodom.pl/oferta/2-pokoje-w-apartamentowcu-na-balutach-ID48ZBp.html#6797e79907
M3 4480 m2 rozkładowe na osiedlu Koziny,Polesie Koziny,2,229 900,44.80,5 132,https://www.otodom.pl/pl/oferta/m3-44-80-m2-rozkladowe-na-osiedlu-koziny-ID48Zx3.html#6797e79907
M3 375 m2 w okolicy manufaktury,Śródmieście,2,239 000,37.39,6 392,https://www.otodom.pl/oferta/m3-37-5-m2-w-okolicy-manufaktury-ID48Zx0.html#6797e79907
Mieszkanie z dużym potencjałem - 4.200/m2 !!!,Bałuty,2,162 000,38.50,4 208,https://www.otodom.pl/pl/oferta/mieszkanie-z-duzym-potencjalem-4-200-zl-m2-ID48Zu8.html#6797e79907
Gotowe 3 2 miejsca parking i widok na las.,Bałuty,3,380 000,50,7 600,https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-2-miejsca-parking-i-widok-na-las-ID43Kcb.html#6797e79907
Mieszkanie 2pokoje 45m2 na 4 piętrze,Bałuty Teofilów,2,208 000,45,4 622,https://www.otodom.pl/pl/oferta/mieszkanie-2pokoje-45m2-na-4-pietrze-ID48ZoL.html#6797e79907
Super Cena! Ostatnie w takim rozkładzie! Centrum!,Górna,3,315 469,46,6 858,https://www.otodom.pl/pl/oferta/super-cena-ostatnie-w-takim-rozkladzie-centrum-ID48fsd.html#6797e79907
2 - Obok Politechniki i Linii Tramwajowej,Polesie,2,265 341,41,6 472,https://www.otodom.pl/pl/oferta/2-pokoje-obok-politechniki-i-linii-tramwajowej-ID48ZlB.html#6797e79907
Mieszkanie 45 Łódź,Bałuty,2,285 000,45,6 333,https://www.otodom.pl/pl/oferta/mieszkanie-45-m-lodz-ID48Zkg.html#6797e79907
Sprzedam mieszkanie w apartamentowcu,Widzew,2,390 000,50,7 800,https://www.otodom.pl/oferta/sprzedam-mieszkanie-w-apartamentowcu-ID48u1z.html#6797e79907
Rozkładowe M3 w świetnej lokalizacji,Polesie Retkinia,2,269 000,42.42,6 341,https://www.otodom.pl/pl/oferta/rozkladowe-m3-w-swietnej-lokalizacji-ID48wXc.html#6797e79907
Mieszkanie po generalnym remoncie obok Manufaktury,Bałuty,3,299 000,45,6 644,https://www.otodom.pl/pl/oferta/mieszkanie-po-generalnym-remoncie-obok-manufaktury-ID48Juw.html#6797e79907
Nowoczesne mieszkanie 2 ul. Senatorska 50,Górna,2,383 000,46.40,8 254,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-2-pokoje-ul-senatorska-50-ID48Z42.html#6797e79907
Mieszkanie M-4 po częściowym remoncie Dąbrowa,Górna Dąbrowa,3,275 000,48,5 729,https://www.otodom.pl/oferta/mieszkanie-m-4-po-czesciowym-remoncie-dabrowa-ID48Jtl.html#6797e79907
2 pokojowe do wprowadzenia Okazja!,Widzew Stoki,2,185 000,45,4 111,https://www.otodom.pl/pl/oferta/2-pokojowe-do-wprowadzenia-okazja-ID48Z2G.html#6797e79907
Prywatnie M4 ŁódźKozinyul. Gazowa Po remoncie,Polesie,3,292 000,47.50,6 147,https://www.otodom.pl/pl/oferta/prywatnie-m4-lodz-koziny-ul-gazowa-po-remoncie-ID48VYy.html#c49d7cf695
Osiedle KOLUMNY nowa inwestycja! etap I budynek J,Górna,2,315 531,04,53.68,5 878,https://www.otodom.pl/oferta/osiedle-kolumny-nowa-inwestycja-etap-i-budynek-j-ID455hI.html#c49d7cf695
M3 ul.Kossaka !!!,Górna,2,278 000,37,7 514,https://www.otodom.pl/oferta/m3-ul-kossaka-ID48YZr.html#c49d7cf695
sprzedam mieszkanie,Widzew,3,294 000,48.18,6 102,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-ID48up8.html#c49d7cf695
Retkinia Maratońska świetna lokalizacja!,Polesie Retkinia,3,279 000,53,5 264,https://www.otodom.pl/pl/oferta/retkinia-maratonska-swietna-lokalizacja-ID47voA.html#c49d7cf695
M-3/M-4 rozkład 2 piętro 5200/m2,Górna,2,239 000,46,5 196,https://www.otodom.pl/pl/oferta/m-3-m-4-rozklad-2-pietro-5200-zl-m2-ID48tsY.html#c49d7cf695
Apartament z tarasem 2017 r. wysoki standard!,Bałuty Doły,2,370 000,47,7 872,https://www.otodom.pl/pl/oferta/apartament-z-tarasem-2017-r-wysoki-standard-ID47yQc.html#c49d7cf695
Przytulne mieszkanie na Retkini,Polesie,2,300 000,49.15,6 104,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-retkini-ID48YNK.html#c49d7cf695
2 balkon 1 piętro Zarzew WidzewDąbrowa,Widzew Zarzew,2,355 000,50.53,7 026,https://www.otodom.pl/oferta/2-pokoje-balkon-1-pietro-zarzew-widzew-dabrowa-ID48YLD.html#c49d7cf695
2 balkon 1 piętro Zarzew WidzewDąbrowa,Widzew Zarzew,2,255 000,50.53,5 047,https://www.otodom.pl/oferta/2-pokoje-balkon-1-pietro-zarzew-widzew-dabrowa-ID48YLC.html#c49d7cf695
Małe 2 po remoncie na Górnej.,Górna,2,32 000,35,914,https://www.otodom.pl/oferta/male-2-pokoje-po-remoncie-na-gornej-ID48YLg.html#c49d7cf695
Mieszkanie 4588 Łódź,Górna,2,228 000,45.88,4 969,https://www.otodom.pl/pl/oferta/mieszkanie-45-88-m-lodz-ID48YJx.html#c49d7cf695
Ostatnie M-2 /Od Zaraz !!!/Al.Politechniki,Śródmieście,2,270 000,38.75,6 968,https://www.otodom.pl/pl/oferta/ostatnie-m-2-od-zaraz-al-politechniki-ID48YDW.html#c49d7cf695
Centrum  drugie piętro balkon ogrodzony teren,Śródmieście,2,298 000,47.80,6 234,https://www.otodom.pl/pl/oferta/centrum-drugie-pietro-balkon-ogrodzony-teren-ID48YD1.html#c49d7cf695
M3 376m2/ balkon/Julianów,Bałuty Julianów,2,180 000,37.68,4 777,https://www.otodom.pl/oferta/m3-37-6m2-balkon-julianow-ID48YC2.html#c49d7cf695
Zarzew duże m3 51m2/balkon/Polecam.,Widzew Zarzew,2,259 000,51,5 078,https://www.otodom.pl/oferta/zarzew-duze-m3-51m2-balkon-polecam-ID48YC1.html#c49d7cf695
3 Pokoje Wykończone Pod Klucz Bez Prowizji i PCC,Polesie Nowe Złotno,3,447 900,54.10,8 279,https://www.otodom.pl/pl/oferta/3-pokoje-wykonczone-pod-klucz-bez-prowizji-i-pcc-ID45pPJ.html#c49d7cf695
M-3 Widzew Wschód Mc Donald,Widzew,2,242 000,46,5 261,https://www.otodom.pl/oferta/m-3-widzew-wschod-mc-donald-ID48YwV.html#c49d7cf695
Słoneczne M2 394m2 blisko Manufaktury,Polesie Koziny,1,199 000,39.40,5 051,https://www.otodom.pl/pl/oferta/sloneczne-m2-39-4m2-blisko-manufaktury-ID48YrA.html#c49d7cf695
M3 45m2 rozkładowe balkon TeofilówPolecam,Bałuty Teofilów,2,245 000,45,5 444,https://www.otodom.pl/oferta/m3-45m2-rozkladowe-balkon-teofilow-polecam-ID48Yrx.html#c49d7cf695
M3 odswieżone i umeblowane obok Manufaktury,Śródmieście,2,245 000,38,6 447,https://www.otodom.pl/pl/oferta/m3-odswiezone-i-umeblowane-obok-manufaktury-ID48Yil.html#c49d7cf695
Mieszkanie 53 m2 3 2 piętro Retkinia,Polesie Retkinia,3,300 000,53,5 660,https://www.otodom.pl/oferta/mieszkanie-53-m2-3-pokoje-2-pietro-retkinia-ID48Yia.html#c49d7cf695
Mieszkanie Łódź Górna Mazurska - do wprowadzenia,Górna Chojny,3,330 000,54.50,6 055,https://www.otodom.pl/oferta/mieszkanie-lodz-gorna-mazurska-do-wprowadzenia-ID48qq4.html#c49d7cf695
Mieszkanie 3748 Łódź,Bałuty Żubardź,2,180 000,37.48,4 803,https://www.otodom.pl/pl/oferta/mieszkanie-37-48-m-lodz-ID48Yd7.html#c49d7cf695
2 - ul. Staszica po generalnym remoncie!,Bałuty,2,285 000,40,7 125,https://www.otodom.pl/oferta/2-pokoje-ul-staszica-po-generalnym-remoncie-ID48i0e.html#5111276859
Ostatnie mieszkania Centrum ul. Rewolucji 27 Łódź,Śródmieście,2,199 000,45.39,4 384,https://www.otodom.pl/oferta/ostatnie-mieszkania-centrum-ul-rewolucji-27-lodz-ID492CP.html#5111276859
Mieszkanie w centrum Łodzi  super inwestycja!!!,Śródmieście,3,233 500,53,4 406,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-lodzi-super-inwestycja-ID47B0J.html#5111276859
Sprzedam Mieszkanie 2 pok. Łódź Dąbrowa REZERWACJA,Górna,2,188 000,36.74,5 117,https://www.otodom.pl/oferta/sprzedam-mieszkanie-2-pok-lodz-dabrowa-rezerwacja-ID48J6k.html#5111276859
Słoneczne rozkładowe 47m2 winda Łódź-Teofilów.,Bałuty Teofilów,2,279 000,47,5 936,https://www.otodom.pl/oferta/sloneczne-rozkladowe-47m2-winda-lodz-teofilow-ID47EWD.html#5111276859
Mieszkanie 2 pok. Osiedle Liściasta Park,Bałuty,2,370 000,47.50,7 789,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-osiedle-lisciasta-park-ID48XJE.html#5111276859
dwa Widzew- wschód loggia pełen rozkład,Widzew,2,314 000,54.33,5 779,https://www.otodom.pl/pl/oferta/dwa-pokoje-widzew-wschod-loggia-pelen-rozklad-ID48Y5N.html#5111276859
ZOBACZ FIZYCZNIE - Centrum/Widzew Teren Ogrodzony,Śródmieście,3,303 000,48.91,6 195,https://www.otodom.pl/oferta/zobacz-fizycznie-centrum-widzew-teren-ogrodzony-ID48VL3.html#5111276859
Okazja .Nieruchomość Idealna Pod Wynajem,Polesie,2,185 000,36,5 139,https://www.otodom.pl/pl/oferta/okazja-nieruchomosc-idealna-pod-wynajem-ID486Nc.html#5111276859
Trzy Nowe Rokicie / Park Sielanka / Górna !,Górna,3,275 000,47,5 851,https://www.otodom.pl/pl/oferta/trzy-pokoje-nowe-rokicie-park-sielanka-gorna-ID48XVM.html#5111276859
2-pokojowe mieszkanie Łódź Bałuty Doły,Bałuty,2,297 000,41.18,7 212,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-lodz-baluty-doly-ID45lVq.html#5111276859
Mieszkanie M3 Łódź - Retkinia świetna lokalizacja,Polesie,2,250 000,42,5 952,https://www.otodom.pl/oferta/mieszkanie-m3-lodz-retkinia-swietna-lokalizacja-ID48IYY.html#5111276859
