Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
"Kawalerka, 1 piętro przy Parku, Tatrzańska 71",Górna,1,185000.0,28.58,6473.0,2021-03-10,https://www.otodom.pl/pl/oferta/kawalerka-1-pietro-przy-parku-tatrzanska-71-ID4alHd.html#25075a1c82
Bezpośrednio Mieszkania Inwestycja Jaracza Centrum,Śródmieście,1,208000.0,24.52,8483.0,2021-03-10,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkania-inwestycja-jaracza-centrum-ID4ai7B.html#25075a1c82
Rozkładowe M3 w Łodzi z windą,Bałuty,2,259000.0,47.0,5511.0,2021-03-10,https://www.otodom.pl/pl/oferta/rozkladowe-m3-w-lodzi-z-winda-ID49xQE.html#25075a1c82
M- 3 AL.CHRYZANTEM - DOŁY,"Bałuty, Doły",2,299000.0,57.3,5218.0,2021-03-10,https://www.otodom.pl/pl/oferta/m-3-al-chryzantem-doly-ID4asgt.html#83305b385b
0% od Kupującego,łódzkie,1,246316.0,32.41,7600.0,2021-03-10,https://www.otodom.pl/pl/oferta/0-od-kupujacego-ID4a9Hc.html#83305b385b
Sprzedam M-3 Łódź Górna Bezpośrenio,Górna,2,309000.0,48.5,6371.0,2021-03-10,https://www.otodom.pl/pl/oferta/sprzedam-m-3-lodz-gorna-bezposrenio-ID49QFr.html#83305b385b
M3 Doły Z Możliwością Zrobienia Na M4,"Bałuty, Doły",2,305000.0,57.0,5351.0,2021-03-10,https://www.otodom.pl/pl/oferta/m3-doly-z-mozliwoscia-zrobienia-na-m4-ID4auj1.html#83305b385b
Rozkładowe M3 3 piętro WINDA ul .Marynarska KW,Bałuty,2,238000.0,49.0,4857.0,2021-03-10,https://www.otodom.pl/pl/oferta/rozkladowe-m3-3-pietro-winda-ul-marynarska-kw-ID4ag82.html#4cef489b22
"M3 rozkładowe 45m2, Rojna, Teofilów, 2 pok. parter","Bałuty, Teofilów",2,229000.0,45.0,5089.0,2021-03-10,https://www.otodom.pl/pl/oferta/m3-rozkladowe-45m2-rojna-teofilow-2-pok-parter-ID484rZ.html#4cef489b22
Rozkładowe M3 3 piętro WINDA ul .Marynarska KW,Bałuty,2,238000.0,49.0,4857.0,2021-03-10,https://www.otodom.pl/pl/oferta/rozkladowe-m3-3-pietro-winda-ul-marynarska-kw-ID4ag82.html#b7223ac5f4
Kawalerka blisko centrum po generalnym remoncie!,Górna,2,189000.0,39.0,4846.0,2021-03-10,https://www.otodom.pl/pl/oferta/kawalerka-blisko-centrum-po-generalnym-remoncie-ID49dy8.html#b7223ac5f4
"Słoneczne, rozkładowe 47m2, winda, Łódź-Teofilów.","Bałuty, Teofilów",2,259000.0,46.55,5564.0,2021-03-10,https://www.otodom.pl/pl/oferta/sloneczne-rozkladowe-47m2-winda-lodz-teofilow-ID47EWD.html#b7223ac5f4
Super Oferta! 2 przy ul. Sierakowskiego 63,Bałuty,2,265000.0,48.89,5420.0,2021-03-10,https://www.otodom.pl/pl/oferta/super-oferta-2-pokoje-przy-ul-sierakowskiego-63-ID4aufU.html#b7223ac5f4
"Duże M3, 1 piętro, balkon, blisko Manufaktury.","Polesie, Koziny",2,317350.0,57.0,5568.0,2021-03-10,https://www.otodom.pl/pl/oferta/duze-m3-1-pietro-balkon-blisko-manufaktury-ID4aufM.html#b7223ac5f4
"Mieszkanie, 51,05, Łódź",Widzew,3,350306.0,51.05,6862.0,2021-03-10,https://www.otodom.pl/pl/oferta/mieszkanie-51-05-m-lodz-ID4audA.html#b7223ac5f4
"Mieszkanie, 49,13, Łódź",łódzkie,3,347521.0,49.13,7073.0,2021-03-10,https://www.otodom.pl/pl/oferta/mieszkanie-49-13-m-lodz-ID4aucy.html#b7223ac5f4
"Mieszkanie, 44,70, Łódź",Bałuty,2,240000.0,44.7,5369.0,2021-03-10,https://www.otodom.pl/pl/oferta/mieszkanie-44-70-m-lodz-ID4au5M.html#b7223ac5f4
"Rozkładowe M3, 53 m2 z garderobą !!, Łódź Górna","Górna, Kurak",2,297000.0,53.0,5604.0,2021-03-10,https://www.otodom.pl/pl/oferta/rozkladowe-m3-53-m2-z-garderoba-lodz-gorna-ID49R70.html#6f54f7c188
"Bespośrednio, 2 po remoncie","Bałuty, Żubardź",2,289000.0,44.35,6516.0,2021-03-10,https://www.otodom.pl/pl/oferta/besposrednio-2-pokoje-po-remoncie-ID49iyS.html#6f54f7c188
Sprzedam bezpośrednio mieszkanie Łódź-Olechów,"Widzew, Olechów",4,485000.0,81.0,5988.0,2021-03-10,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-mieszkanie-lodz-olechow-ID46S5q.html#6f54f7c188
"Mieszkanie, 59,50, Łódź",Górna,3,375000.0,59.5,6303.0,2021-03-10,https://www.otodom.pl/pl/oferta/mieszkanie-59-50-m-lodz-ID4au5A.html#6f54f7c188
Do Sprzedaży mieszkanie Łódź - Rokicie ul. Piękna,łódzkie,2,269000.0,49.0,5490.0,2021-03-10,https://www.otodom.pl/pl/oferta/do-sprzedazy-mieszkanie-lodz-rokicie-ul-piekna-ID4au56.html#6f54f7c188
Przytulne M-3 na I piętrze !,Górna,2,273000.0,46.21,5908.0,2021-03-10,https://www.otodom.pl/pl/oferta/przytulne-m-3-na-i-pietrze-ID4au4x.html#6f54f7c188
"M-3 w otoczeniu zieleni, II piętro",Górna,2,255000.0,43.2,5903.0,2021-03-10,https://www.otodom.pl/pl/oferta/m-3-w-otoczeniu-zieleni-ii-pietro-ID4au4w.html#6f54f7c188
"Mieszkanie, 39,86, Łódź",Bałuty,2,340000.0,39.86,8530.0,2021-03-10,https://www.otodom.pl/pl/oferta/mieszkanie-39-86-m-lodz-ID4au4u.html#6f54f7c188
3 w centrum dla inwestora po remoncie,Śródmieście,3,425000.0,93.2,4560.0,2021-03-10,https://www.otodom.pl/pl/oferta/3-pokoje-w-centrum-dla-inwestora-po-remoncie-ID49Zpk.html#05fd0af48e
Komfortowe mieszkanie A23 w Łodzi ul. Finansowa,Górna,5 pokoi,580013.0,118.37,4900.0,2021-03-10,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-a23-w-lodzi-ul-finansowa-ID3XBza.html#05fd0af48e
"Łódź, Przędzalniana",łódzkie,2,289000.0,47.06,6141.0,2021-03-10,https://www.otodom.pl/pl/oferta/lodz-przedzalniana-ID4ammj.html#61930e09a5
"3 po remoncie, ok. Manufaktury, bok z cegły",Śródmieście,3,399000.0,66.5,6000.0,2021-03-10,https://www.otodom.pl/pl/oferta/3-pokoje-po-remoncie-ok-manufaktury-bok-z-cegly-ID49FIw.html#61930e09a5
słoneczne studio - dobra lokata inwestycyjna,Górna,1,198600.0,25.2,7881.0,2021-03-10,https://www.otodom.pl/pl/oferta/sloneczne-studio-dobra-lokata-inwestycyjna-ID4acBp.html#6cc80a5255
"winda, na prestiżową kancelarię",Śródmieście,3,696000.0,116.0,6000.0,2021-03-10,https://www.otodom.pl/pl/oferta/winda-na-prestizowa-kancelarie-ID48ZAE.html#6cc80a5255
2 mieszkania Manufaktura dla inwestora po remoncie,Bałuty,3,305000.0,36.0,8472.0,2021-03-10,https://www.otodom.pl/pl/oferta/2-mieszkania-manufaktura-dla-inwestora-po-remoncie-ID4atXT.html#6cc80a5255
"taras 52 m2, 2 miejsca parkingowe, 2011 rok,",Polesie,2,480000.0,59.8,8027.0,2021-03-10,https://www.otodom.pl/pl/oferta/taras-52-m2-2-miejsca-parkingowe-2011-rok-ID4alse.html#3dc40b96bb
Sprzedam mieszkanie M4 Retkinia 56 m2,łódzkie,3,350000.0,56.0,6250.0,2021-03-10,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-m4-retkinia-56-m2-ID4adT5.html#3dc40b96bb
Kawalerka z osobną kuchnią - oś. Kurak,"Górna, Kurak",1,219000.0,37.0,5919.0,2021-03-10,https://www.otodom.pl/pl/oferta/kawalerka-z-osobna-kuchnia-os-kurak-ID47S6z.html#3dc40b96bb
"Unikatowy Loft, Arboretum ul. Łukasińskiego 4",Górna,3,825000.0,153.63,5370.0,2021-03-10,https://www.otodom.pl/pl/oferta/unikatowy-loft-arboretum-ul-lukasinskiego-4-ID4atVE.html#3dc40b96bb
"M4 Julianów, po remoncie. Liściasta 66","Bałuty, Julianów",3,409000.0,62.0,6597.0,2021-03-10,https://www.otodom.pl/pl/oferta/m4-julianow-po-remoncie-lisciasta-66-ID4atUr.html#3dc40b96bb
Mieszkanie obok Manufaktury bezpośrednio + parking,"Polesie, Stare Polesie",2,320000.0,50.8,6299.0,2021-03-10,https://www.otodom.pl/pl/oferta/mieszkanie-obok-manufaktury-bezposrednio-parking-ID4atRL.html#3dc40b96bb
3 w kamienicy / centrum,Śródmieście,3,373750.0,57.5,6500.0,2021-03-10,https://www.otodom.pl/pl/oferta/3-pokoje-w-kamienicy-centrum-ID4atRv.html#3dc40b96bb
Kawalerka w kamienicy / centrum,Śródmieście,1,163918.0,19.99,8200.0,2021-03-10,https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-centrum-ID4atRw.html#3dc40b96bb
3 w kamienicy / centrum,Śródmieście,3,347028.0,52.58,6600.0,2021-03-10,https://www.otodom.pl/pl/oferta/3-pokoje-w-kamienicy-centrum-ID4atRu.html#3dc40b96bb
