Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Mieszknie M3 świetna lokalizacja/Widzew od zaraz,Widzew Widzew-Wschód,2,275 000,44.50,6 180,08-12-2020,https://www.otodom.pl/pl/oferta/mieszknie-m3-swietna-lokalizacja-widzew-od-zaraz-ID495Yb.html#ed7b2d23ec
Mieszkanie M4 - 3 + kuchnia - Dąbrowa,Górna Dąbrowa,3,340 000,55,6 182,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m4-3-pokoje-kuchnia-dabrowa-ID491op.html#ed7b2d23ec
Sprzedam mieszkanie w apartamentowcu,Widzew,2,390 000,50,7 800,08-12-2020,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-apartamentowcu-ID48u1z.html#ed7b2d23ec
Piękne słoneczne z tarasem na oś. Majowym.,Widzew Zarzew,2,399 000,51.91,7 686,08-12-2020,https://www.otodom.pl/pl/oferta/piekne-sloneczne-z-tarasem-na-os-majowym-ID47Goy.html#ed7b2d23ec
Mieszkanie I piętro Centrum,Śródmieście,2,219 000,51.16,4 281,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-i-pietro-centrum-ID48OC4.html#ed7b2d23ec
M3 Polesie funkcjonalne wyposażone,łódzkie,2,278 000,46,6 043,08-12-2020,https://www.otodom.pl/pl/oferta/m3-polesie-funkcjonalne-wyposazone-ID4963o.html#ed7b2d23ec
Mieszkanie do wprowadzenia,Bałuty Teofilów,2,247 000,38,6 500,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-do-wprowadzenia-ID4962Q.html#ed7b2d23ec
Mieszkanie po generalnym remoncie,Polesie Retkinia,3,330 000,53,6 226,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-po-generalnym-remoncie-ID49616.html#ed7b2d23ec
Mieszkanie - Łódź Bałuty,Bałuty,2,207 000,44.70,4 631,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-baluty-ID4961D.html#ed7b2d23ec
Mieszkanie 2 45m2 na 4 Piętrze,Bałuty,2,283 000,45.16,6 267,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-45m2-na-4-pietrze-ID495Zy.html#ed7b2d23ec
Mieszknie M3 świetna lokalizacja/Widzew od zaraz,Widzew Widzew-Wschód,2,275 000,44.50,6 180,08-12-2020,https://www.otodom.pl/pl/oferta/mieszknie-m3-swietna-lokalizacja-widzew-od-zaraz-ID495Yb.html#ed7b2d23ec
Umeblowane przytulne M3 na Bałutach ul. Obornicka,Bałuty,2,249 000,37.50,6 640,08-12-2020,https://www.otodom.pl/pl/oferta/umeblowane-przytulne-m3-na-balutach-ul-obornicka-ID495XG.html#ed7b2d23ec
2 do wprowadzenia ładne słonecznePolecam,Górna,2,33 000,40,825,08-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-do-wprowadzenia-ladne-sloneczne-polecam-ID495UI.html#ed7b2d23ec
Przestronna kawalerka centrum,Śródmieście,1,245 000,45,5 444,08-12-2020,https://www.otodom.pl/pl/oferta/przestronna-kawalerka-centrum-ID495Td.html#ed7b2d23ec
Mieszkanie - Łódź Olechów,Widzew Olechów,2,305 000,49.98,6 102,08-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-olechow-ID495Sg.html#ed7b2d23ec
Fajne 2 pok.mieszkanie,Polesie,2,35 000,45,778,08-12-2020,https://www.otodom.pl/pl/oferta/fajne-2-pok-mieszkanie-ID495Rh.html#ed7b2d23ec
3 + Widna Kuchnia + Duży Balkon,Widzew,3,322 183,52.01,6 195,08-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-widna-kuchnia-duzy-balkon-ID495J9.html#ed7b2d23ec
2 blisko Szkoły Filmowej - *Rabaty do -10%*,Widzew,2,257 566,37.01,6 959,08-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-blisko-szkoly-filmowej-rabaty-do-10-ID495J7.html#ed7b2d23ec
