Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Łódź Teofilów mieszkanie m4 sprzedam BEZPOŚREDNIO,Bałuty Teofilów,3,305000,57,5351,11-01-2021,https://www.otodom.pl/pl/oferta/lodz-teofilow-mieszkanie-m4-sprzedam-bezposrednio-ID49o36.html
Piękne umeblowane z dwoma balkonami i komórką,Śródmieście,2,325000,48.43,6711,11-01-2021,https://www.otodom.pl/pl/oferta/piekne-umeblowane-z-dwoma-balkonami-i-komorka-ID49k7j.html
Mieszkanie 8727 Łódź,Polesie,3,280000,87.27,3208,11-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-87-27-m-lodz-ID49vtW.html
2-pokojowe Górna- Prywatna kamienica,Górna,2,45000,42,1071,11-01-2021,https://www.otodom.pl/pl/oferta/2-pokojowe-gorna-prywatna-kamienica-ID49vqV.html
Wyjątkowe mieszkanie na Karolewie,Polesie Karolew,2,247000,30.94,7983,11-01-2021,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-na-karolewie-ID49vq7.html
Apartament Osiedle Kurczaki- 3 winda taras,Górna,3,540000,65.63,8228,11-01-2021,https://www.otodom.pl/pl/oferta/apartament-osiedle-kurczaki-3-pokoje-winda-taras-ID49vjU.html
Mieszkanie - Łódź Górna,Górna,2,160000,28.48,5618,11-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-gorna-ID49vjJ.html
Mieszkanie - Łódź Górna,Górna,3,340000,52,6538,11-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-gorna-ID49vjG.html
Mieszkanie - Łódź Polesie,Polesie,1,327000,46,7109,11-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-polesie-ID49vjE.html
Mieszkanie - Łódź Polesie,Polesie,4,780000,109,7156,11-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-polesie-ID49vjC.html
Rozkładowe M4 /53 m2/balkon/Radogoszcz,Bałuty Radogoszcz,3,289000,53,5453,11-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m4-53-m2-balkon-radogoszcz-ID49vii.html
2-pokojowe ok.ul. Lipowej- Prywatna kamienica,Polesie,2,45000,90,500,11-01-2021,https://www.otodom.pl/pl/oferta/2-pokojowe-ok-ul-lipowej-prywatna-kamienica-ID49vhd.html
3 pokojowe 51m2 po remoncie,Górna,3,319700,51,6269,11-01-2021,https://www.otodom.pl/pl/oferta/3-pokojowe-51m2-po-remoncie-ID49veI.html
2 blisko Politechniki,Górna,2,205000,33,6212,11-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-blisko-politechniki-ID49veB.html
