Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Prywatnie M3 Łódź Julianów ul .Sierakowskiego,Bałuty,2,262000,38,6895,20-01-2021,https://www.otodom.pl/pl/oferta/prywatnie-m3-lodz-julianow-ul-sierakowskiego-ID49kb8.html
Mieszkanie M4 Rozkładowe 5466m Bezpośrednio,Górna,3,360000,54.66,6586,20-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-m4-rozkladowe-54-66m-bezposrednio-ID49dc5.html
Przestronne mieszkanie w kamienicy w samym centrum,Śródmieście,2,320000,71.79,4457,20-01-2021,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-kamienicy-w-samym-centrum-ID49FVS.html
Atrakcyjna Oferta Dostępna Tylko W Naszym Biurze.,Bałuty Teofilów,2,219000,45,4867,20-01-2021,https://www.otodom.pl/pl/oferta/atrakcyjna-oferta-dostepna-tylko-w-naszym-biurze-ID49FUy.html
Nowe !!! Od Zaraz !!! 3 Pokoje Ul. Okopowa 103,Bałuty,3,382925,45.05,8500,20-01-2021,https://www.otodom.pl/pl/oferta/nowe-od-zaraz-3-pokoje-ul-okopowa-103-ID49FTx.html
Nowe !!! Od Zaraz !!! 3 Pokoje Ul. Okopowa 103,Bałuty,3,382925,45.05,8500,20-01-2021,https://www.otodom.pl/pl/oferta/nowe-od-zaraz-3-pokoje-ul-okopowa-103-ID49FTt.html
Nowe !!! Od Zaraz !!! 2 Pokoje Ul. Okopowa 103,Bałuty,2,341615,40.19,8500,20-01-2021,https://www.otodom.pl/pl/oferta/nowe-od-zaraz-2-pokoje-ul-okopowa-103-ID49FOE.html
Nowe !!! Od Zaraz !!! 2 Pokoje Ul. Okopowa 103,Bałuty,2,341615,40.19,8500,20-01-2021,https://www.otodom.pl/pl/oferta/nowe-od-zaraz-2-pokoje-ul-okopowa-103-ID49FOz.html
Mieszkanie 180m2 na Polesiu,Polesie,7 pokoi,895000,180,4972,20-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-180m2-na-polesiu-ID49FNr.html
Apartament Z Możliwością Stworzenia 3 Pokoi,Widzew,2,366600,66.60,5505,20-01-2021,https://www.otodom.pl/pl/oferta/apartament-z-mozliwoscia-stworzenia-3-pokoi-ID49FLA.html
Duże mieszkanie z windą w Nowym Centrum Łodzi,Śródmieście,3,750000,106,7075,20-01-2021,https://www.otodom.pl/pl/oferta/duze-mieszkanie-z-winda-w-nowym-centrum-lodzi-ID49FIW.html
M-4 71m2 Retkinia Botanik Balkon Loggia,Polesie Retkinia,3,393000,71,5535,20-01-2021,https://www.otodom.pl/pl/oferta/m-4-71m2-retkinia-botanik-balkon-loggia-ID49FIE.html
Wyjątkowe M4 okolice Manufaktury,Śródmieście,3,399000,66.50,6000,20-01-2021,https://www.otodom.pl/pl/oferta/wyjatkowe-m4-okolice-manufaktury-ID49FIw.html
M-3 37m2 Łódź Górna - Dąbrowa,Górna Dąbrowa,2,209000,37.20,5618,20-01-2021,https://www.otodom.pl/pl/oferta/m-3-37m2-lodz-gorna-dabrowa-ID49FIn.html
Deweloperski apartament w Centrum /Primo!/Od Zaraz,Śródmieście,1,339000,42.97,7889,20-01-2021,https://www.otodom.pl/pl/oferta/deweloperski-apartament-w-centrum-primo-od-zaraz-ID49FIe.html
Nowe M-2 blisko Politechniki /Od Zaraz !!!,Górna,2,272600,39.46,6908,20-01-2021,https://www.otodom.pl/pl/oferta/nowe-m-2-blisko-politechniki-od-zaraz-ID49FIb.html
Apartament Retkinia 9954 m2 - 3 1 piętro,Polesie Retkinia,3,630000,99.54,6329,20-01-2021,https://www.otodom.pl/pl/oferta/apartament-retkinia-99-54-m2-3-pokoje-1-pietro-ID49FEc.html
M3 Na Karolewie,Polesie,3,270000,46,5870,20-01-2021,https://www.otodom.pl/pl/oferta/m3-na-karolewie-ID49FD4.html
M-4 bardzo ładne Górna,Górna,3,346000,55,6291,20-01-2021,https://www.otodom.pl/pl/oferta/m-4-bardzo-ladne-gorna-ID49FBQ.html
Apartament w kamienicy międzywojennej w Centrum,Śródmieście,4,1190000,134.17,8869,20-01-2021,https://www.otodom.pl/pl/oferta/apartament-w-kamienicy-miedzywojennej-w-centrum-ID49FzO.html
Komfortowe mieszkanie w pełni wyposażone 3/pok.,Polesie,3,349000,63.07,5534,20-01-2021,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-w-pelni-wyposazone-3-pok-ID49Fv6.html
Mieszkanie w odrestaurowanej kamienicy - Centrum,Śródmieście,1,148000,18,8222,20-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-w-odrestaurowanej-kamienicy-centrum-ID49Fv0.html
Duża kawalerka os. Piastów,Górna,1,192000,34,5647,20-01-2021,https://www.otodom.pl/pl/oferta/duza-kawalerka-os-piastow-ID49FwE.html
