Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
POLESIE / ZŁOTNO - Nowy apartamentowiec od5100/mkw,Polesie,4,470322,92.22,5100,10-01-2021,https://www.otodom.pl/pl/oferta/polesie-zlotno-nowy-apartamentowiec-od5100-mkw-ID49pXS.html
Bezpośrednio Gotowiec inwestycyjny 4w1 po remoncie,Śródmieście,5 pokoi,599000,108,5546,10-01-2021,https://www.otodom.pl/pl/oferta/bezposrednio-gotowiec-inwestycyjny-4w1-po-remoncie-ID4838F.html
Pięciopokojowe mieszkanie A33 w Łodzi,Górna,5 pokoi,630385,128.65,4900,10-01-2021,https://www.otodom.pl/pl/oferta/pieciopokojowe-mieszkanie-a33-w-lodzi-ID3XBxK.html
Apartament 2018r.//Pachnący Świeżością – 3x balkon,Polesie,3,565000,73.07,7732,10-01-2021,https://www.otodom.pl/pl/oferta/apartament-2018r-pachnacy-swiezoscia-3x-balkon-ID49w1T.html
Uwaga-Osiedle Jarzębinowe - 73m2 garaż 2xkomórka,Bałuty,3,498000,73.07,6815,10-01-2021,https://www.otodom.pl/pl/oferta/uwaga-osiedle-jarzebinowe-73m2-garaz-2xkomorka-ID49w1S.html
2 Retkinia 1 piętro w bloku,Polesie Retkinia,2,300000,42.42,7072,10-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-retkinia-1-pietro-w-bloku-ID49w1A.html
Sprzedam kawalerkę,Bałuty Radogoszcz,1,169000,31,5452,10-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-ID49w05.html
Manufaktura 58m2 2 pok po częściowym remoncie,Śródmieście,2,340000,57.33,5931,10-01-2021,https://www.otodom.pl/pl/oferta/manufaktura-58m2-2-pok-po-czesciowym-remoncie-ID49uZ6.html
Mieszkanie do wprowadzenia,Bałuty Teofilów,2,247000,38,6500,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-do-wprowadzenia-ID49uXY.html
Sprzedam M3/38 m2 Łódż Żabieniec,Bałuty,2,200000,38,5263,10-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-m3-38-m2-lodz-zabieniec-ID49uPu.html
Jaracza apartament w centrum pełne wyposażenie !,Śródmieście,2,347330,47,7390,10-01-2021,https://www.otodom.pl/pl/oferta/jaracza-apartament-w-centrum-pelne-wyposazenie-ID49uLQ.html
Mieszkanie 3 Retkinia,Polesie Retkinia,3,285000,51.40,5545,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-retkinia-ID49uKT.html
Atrakcyjne mieszkanie 4 pokojowe – ul. Nastrojowa,Bałuty Radogoszcz,4,429000,74,5797,10-01-2021,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-4-pokojowe-ul-nastrojowa-ID49uJS.html
Rozkładowe mieszkanie 2 pokojowe – ul. Lutomierska,Bałuty Żubardź,2,277000,44.50,6225,10-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-2-pokojowe-ul-lutomierska-ID49uJQ.html
kawalerka 31 m Retkinia ul. Przełajowa,Polesie Retkinia,1,215000,30.94,6949,10-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-31-m-retkinia-ul-przelajowa-ID49uIP.html
Mieszkanie 45m w Łodzi przy ul. Paderewskiego,łódzkie,3,285000,45,6333,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-45m-w-lodzi-przy-ul-paderewskiego-ID49uE2.html
Słoneczne mieszkanie z miejscem parkingowym,Bałuty,3,510000,59.21,8613,10-01-2021,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-miejscem-parkingowym-ID49uDI.html
Super Lokalizacjia .Kupujacy Bez Prowizji,Polesie Karolew,2,249000,42,5929,10-01-2021,https://www.otodom.pl/pl/oferta/super-lokalizacjia-kupujacy-bez-prowizji-ID49uBS.html
Kawalerka przy dworcu Kaliskim,Polesie,1,199000,36,5528,10-01-2021,https://www.otodom.pl/pl/oferta/kawalerka-przy-dworcu-kaliskim-ID49uBf.html
M3 w rozkładzie na Retkini,Polesie Retkinia,2,260000,49.15,5290,10-01-2021,https://www.otodom.pl/pl/oferta/m3-w-rozkladzie-na-retkini-ID49uAv.html
3 z garażem i komórką,Widzew,3,550000,62.50,8800,10-01-2021,https://www.otodom.pl/pl/oferta/3-pokoje-z-garazem-i-komorka-ID49uz9.html
2 Dąbrowa,Górna,2,220000,37,5946,10-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-dabrowa-ID49uyx.html
Ostatnie mieszkanie z ogródkiem. Dla rodziny &gt;&gt;,Śródmieście,3,318100,49.32,6450,10-01-2021,https://www.otodom.pl/pl/oferta/ostatnie-mieszkanie-z-ogrodkiem-dla-rodziny-ID49uxZ.html
Duży balkon. Kup taniej z rabatem - tylko do 21.01,Śródmieście,3,328400,50,6568,10-01-2021,https://www.otodom.pl/pl/oferta/duzy-balkon-kup-taniej-z-rabatem-tylko-do-21-01-ID49uxY.html
Miejsce za 0zł. Promocja do 21 Sty. Idealny układ&gt;,Śródmieście,2,293890,41.08,7154,10-01-2021,https://www.otodom.pl/pl/oferta/miejsce-za-0zl-promocja-do-21-sty-idealny-uklad-ID49uxX.html
Mieszkanie z ładnym ogródkiem. Powrót do sprzedaży,Śródmieście,2,267065,40.32,6624,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-z-ladnym-ogrodkiem-powrot-do-sprzedazy-ID49uxV.html
Ostatni układ. Najtańsze 2-pok. Klucze już 09/2021,Śródmieście,2,255996,35,7314,10-01-2021,https://www.otodom.pl/pl/oferta/ostatni-uklad-najtansze-2-pok-klucze-juz-09-2021-ID49uxW.html
Mieszkanie Osiedle Liściasta Park,Bałuty,2,375000,47.50,7895,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-lisciasta-park-ID48Shv.html
Loftowy apartament - 2 przy Manufakturze,Bałuty,2,343545,55.87,6149,10-01-2021,https://www.otodom.pl/pl/oferta/loftowy-apartament-2-pokoje-przy-manufakturze-ID44CuG.html
Kup przy Politechnice Łódzkiej. Klucze już 04/2021,Śródmieście,1,199720,27.25,7329,10-01-2021,https://www.otodom.pl/pl/oferta/kup-przy-politechnice-lodzkiej-klucze-juz-04-2021-ID49uxU.html
Doskonały widok. Ostatnie piętro. Do 21 stycznia&gt;&gt;,Śródmieście,1,205720,27.22,7558,10-01-2021,https://www.otodom.pl/pl/oferta/doskonaly-widok-ostatnie-pietro-do-21-stycznia-ID49uxR.html
Mieszkanie 6560 Łódź,Bałuty,2,435000,65.60,6631,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-65-60-m-lodz-ID49uuh.html
M5 Radogoszcz Wschód 74m2 - przy Placu Słonecznym,Bałuty Radogoszcz,4,429000,74,5797,10-01-2021,https://www.otodom.pl/pl/oferta/m5-radogoszcz-wschod-74m2-przy-placu-slonecznym-ID49ulG.html
Mieszkanie 61 3 - Traktorowa,Polesie,3,379000,61,6213,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-61-m-3-pokoje-traktorowa-ID49uig.html
4 pełny rozkład 1 p. Radogoszcz Wschód!,Bałuty Radogoszcz,4,365000,63.56,5743,10-01-2021,https://www.otodom.pl/pl/oferta/4-pokoje-pelny-rozklad-1-p-radogoszcz-wschod-ID49uhX.html
Mieszkanie 6172 Łódź,Bałuty,3,310000,61.72,5023,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-61-72-m-lodz-ID49ugX.html
Mieszkanie 47 Łódź,Bałuty,2,240000,47,5106,10-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-lodz-ID49ugV.html
Zarezerwuj już dzisiaj !!!! 36m2 ul. Osiedlowa.,Bałuty,2,295000,36,8194,10-01-2021,https://www.otodom.pl/pl/oferta/zarezerwuj-juz-dzisiaj-36m2-ul-osiedlowa-ID49ugB.html
M-4  48 mkw w pełni rozkładowe logga Żubardź,Bałuty Żubardź,3,240000,48,5000,10-01-2021,https://www.otodom.pl/pl/oferta/m-4-48-mkw-w-pelni-rozkladowe-logga-zubardz-ID49u7h.html
