Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Komfortowe 2 pokojowe mieszkanie-&gt;&gt;Obywatelska!!,łódzkie,2,255711,39.53,6469,16-12-2020,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-obywatelska-ID476PN.html#ed7b2d23ec
Stylowe 2-pokojowe mieszkanie po remoncie - GÓRNA,Górna,2,310000,50.50,6139,16-12-2020,https://www.otodom.pl/pl/oferta/stylowe-2-pokojowe-mieszkanie-po-remoncie-gorna-ID494uf.html#ed7b2d23ec
Super Cena! Ostatnie w takim rozkładzie! Centrum!,Górna,3,315469,46,6858,16-12-2020,https://www.otodom.pl/pl/oferta/super-cena-ostatnie-w-takim-rozkladzie-centrum-ID48fsd.html#ed7b2d23ec
Manufaktura 3pok z balkonem NOWY APARTAMENTOWIEC,Śródmieście,3,297000,49,6061,16-12-2020,https://www.otodom.pl/pl/oferta/manufaktura-3pok-z-balkonem-nowy-apartamentowiec-ID49dR3.html#ed7b2d23ec
Sprzedam mieszkanie 2 w centrum Łodzi,Śródmieście,2,296000,40,7400,16-12-2020,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokoje-w-centrum-lodzi-ID498yB.html#ed7b2d23ec
Manufaktura 2pok z garderobą NOWY APARTAMENTOWIEC,Śródmieście,2,260000,38,6842,16-12-2020,https://www.otodom.pl/pl/oferta/manufaktura-2pok-z-garderoba-nowy-apartamentowiec-ID49dQL.html#ed7b2d23ec
Sprzedam mieszkanie w apartamentowcu,Widzew,2,390000,50,7800,16-12-2020,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-apartamentowcu-ID48u1z.html#ed7b2d23ec
3 dla Inwestotora - obok Politechniki!,Śródmieście,3,295727,45.10,6557,16-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-dla-inwestotora-obok-politechniki-ID49dPR.html#ed7b2d23ec
Mieszkanie 4110 Łódź,Śródmieście,2,259630,41.10,6317,16-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-41-10-m-lodz-ID49dPO.html#ed7b2d23ec
Ustawne 3 dla Rodziny - Blisko Parków !,Śródmieście,3,305708,50.10,6102,16-12-2020,https://www.otodom.pl/pl/oferta/ustawne-3-pokoje-dla-rodziny-blisko-parkow-ID49dPM.html#ed7b2d23ec
