Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
ZOBACZ FIZYCZNIE - Politechnika Łódzka - Nowy Blok,Śródmieście,1,191900,27.15,7068,27-12-2020,https://www.otodom.pl/pl/oferta/zobacz-fizycznie-politechnika-lodzka-nowy-blok-ID49eti.html#25075a1c82
Nowoczesne przytulne mieszkanie 38 m Teofilów,Bałuty Teofilów,2,260000,38,6842,27-12-2020,https://www.otodom.pl/pl/oferta/nowoczesne-przytulne-mieszkanie-38-m-teofilow-ID48CcC.html#25075a1c82
2 Politechniki gotowe mieszkanie,Polesie,2,295000,41.14,7171,27-12-2020,https://www.otodom.pl/pl/oferta/2-pokoje-politechniki-gotowe-mieszkanie-ID48qTP.html#25075a1c82
Piękne umeblowane z dwoma balkonami i komórką,Śródmieście,2,325000,48.43,6711,27-12-2020,https://www.otodom.pl/pl/oferta/piekne-umeblowane-z-dwoma-balkonami-i-komorka-ID49k7j.html#25075a1c82
Mieszkanie 124 Łódź,łódzkie,3,50000,124,403,27-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-124-m-lodz-ID49k4M.html#25075a1c82
Mieszkanie dwupokojowe na sprzedaż,Śródmieście,2,242000,34,7118,27-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-na-sprzedaz-ID49jXI.html#25075a1c82
Mieszkanie 50 Łódź,Polesie,2,250517,50,5010,27-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-50-m-lodz-ID49jUK.html#25075a1c82
Kawalerka Narutowicza Residence 28 m2 + piwnica,Widzew,1,225000,28.34,7939,27-12-2020,https://www.otodom.pl/pl/oferta/kawalerka-narutowicza-residence-28-m2-piwnica-ID49jRE.html#25075a1c82
Studio Kawalerka Skrzyżowanie Marszałków,Widzew,1,240000,31,7742,27-12-2020,https://www.otodom.pl/pl/oferta/studio-kawalerka-skrzyzowanie-marszalkow-ID49jQW.html#25075a1c82
Mieszkanie 77 Łódź,Śródmieście,6 pokoi,500000,77,6494,27-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-77-m-lodz-ID49jP8.html#25075a1c82
Słoneczne mieszkanie w samym centrum aczkolwiek w,Śródmieście,2,350000,72,4861,27-12-2020,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-w-samym-centrum-aczkolwiek-w-ID49jMh.html#25075a1c82
Mieszkanie 31 Łódź,Polesie Retkinia,1,229000,31,7387,27-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-31-m-lodz-ID49jMg.html#25075a1c82
Wyremontowane mieszkanie z antresolą w centrum,Śródmieście,2,242000,33.90,7139,27-12-2020,https://www.otodom.pl/pl/oferta/wyremontowane-mieszkanie-z-antresola-w-centrum-ID49jLw.html#25075a1c82
Kawalerka w centrum do wprowadzenia od zaraz,Śródmieście,1,216000,24.73,8734,27-12-2020,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-do-wprowadzenia-od-zaraz-ID49jLt.html#25075a1c82
Mieszkanie 58 Łódź,Śródmieście,4,420000,58,7241,27-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-58-m-lodz-ID49jHD.html#25075a1c82
Rozkładowe M-3 na osiedlu Wielkopolska,Bałuty,2,225000,45,5000,27-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-m-3-na-osiedlu-wielkopolska-ID49jBQ.html#25075a1c82
Prywatnie - komfortowe M3 38m2 Teofilów Rojna,Bałuty Teofilów,2,247000,37.46,6594,27-12-2020,https://www.otodom.pl/pl/oferta/prywatnie-komfortowe-m3-38m2-teofilow-rojna-ID49jAU.html#25075a1c82
Super apartament w centrum Łodzi!!!,Śródmieście,3,800000,110,7273,27-12-2020,https://www.otodom.pl/pl/oferta/super-apartament-w-centrum-lodzi-ID49jyF.html#25075a1c82
3 centrum-okolice Placu Hallera,łódzkie,3,285000,67.50,4222,27-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-centrum-okolice-placu-hallera-ID49jyw.html#25075a1c82
3 / 2mieszkania - Piwna,Bałuty,3,510000,68,7500,27-12-2020,https://www.otodom.pl/pl/oferta/3-pokoje-2mieszkania-piwna-ID49jvp.html#25075a1c82
Bez prowizji ! - Rozkładowe 2,Polesie,2,231500,44.90,5156,27-12-2020,https://www.otodom.pl/pl/oferta/bez-prowizji-rozkladowe-2-pokoje-ID49juN.html#25075a1c82
