Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
ŁÓDŹ mieszkanie z garażem TYLNA,Śródmieście,2,425000.0,56.0,7589.0,2021-05-02,https://www.otodom.pl/pl/oferta/lodz-mieszkanie-z-garazem-tylna-ID499lQ.html
"Wolne od zaraz, z balkonem, do wprowadzenia",Polesie,2,486000.0,73.3,6630.0,2021-05-02,https://www.otodom.pl/pl/oferta/wolne-od-zaraz-z-balkonem-do-wprowadzenia-ID48ZBj.html
Mieszkanie z duszą w Centrum,Śródmieście,3,665000.0,100.9,6591.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-z-dusza-w-centrum-ID4bjL2.html
Inwestycyjne - centrum Łodzi,Śródmieście,5 pokoi,400000.0,80.48,4970.0,2021-05-02,https://www.otodom.pl/pl/oferta/inwestycyjne-centrum-lodzi-ID4bjJv.html
Przestronne mieszkanie 174m2,"Górna, Chojny",4,960000.0,174.0,5517.0,2021-05-02,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-174m2-ID4bjIH.html
Mieszkania 2 pok. Top Lokal. Ok. Piotrkowskiej,Śródmieście,1,183000.0,30.41,6018.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkania-2-pok-top-lokal-ok-piotrkowskiej-ID4bjFC.html
"M4 63.80m2 Bałuty, Koziny, Zdrowie","Polesie, Koziny",3,330000.0,63.8,5172.0,2021-05-02,https://www.otodom.pl/pl/oferta/m4-63-80m2-baluty-koziny-zdrowie-ID4bjDu.html
3 Pokoje Rozkład Balkon 53m2 Po Remoncie,Polesie,3,325000.0,53.5,6075.0,2021-05-02,https://www.otodom.pl/pl/oferta/3-pokoje-rozklad-balkon-53m2-po-remoncie-ID4bjuy.html
Sprzedam mieszkanie 50 m2 na Chojnach,"Górna, Chojny",2,300000.0,50.0,6000.0,2021-05-02,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-50-m2-na-chojnach-ID4bjtj.html
Mieszkanie na sprzedaż w super okolicy,Polesie,3,519000.0,69.0,7522.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-w-super-okolicy-ID4bjnG.html
"Apartament z 2009r. 63,34m2 z tarasem ok.30m2",Bałuty,2,450000.0,63.34,7105.0,2021-05-02,https://www.otodom.pl/pl/oferta/apartament-z-2009r-63-34m2-z-tarasem-ok-30m2-ID4bjkr.html
Mieszkanie na Zamkniętym Osiedlu+miejsce postojowe,"Widzew, Stoki",3,493230.0,60.19,8195.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-na-zamknietym-osiedlu-miejsce-postojowe-ID4bjkq.html
"Mieszkanie, 28,30, Łódź",Polesie,1,175000.0,28.3,6184.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-28-30-m-lodz-ID4bjha.html
Atrakcyjna oferta Teofilów M-4 po remoncie,"Bałuty, Teofilów",3,319000.0,57.9,5509.0,2021-05-02,https://www.otodom.pl/pl/oferta/atrakcyjna-oferta-teofilow-m-4-po-remoncie-ID4bjdJ.html
JULIANÓW ul.Jana M4 57m balkon ZAMKNIĘTE osiedle,"Bałuty, Julianów",3,329000.0,57.0,5772.0,2021-05-02,https://www.otodom.pl/pl/oferta/julianow-ul-jana-m4-57m-balkon-zamkniete-osiedle-ID4bj9N.html
"Mieszkanie, 42,18, Łódź",Śródmieście,2,450000.0,42.18,10669.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-42-18-m-lodz-ID4bj7m.html
"Mieszkanie, 80, Łódź","Śródmieście, Śródmieście-Wschód",3,550000.0,80.0,6875.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-80-m-lodz-ID4bj4S.html
93 m2 Inwestycja pod kawalerki / apartamenty Ncł,Śródmieście,7 pokoi,435000.0,93.0,4677.0,2021-05-02,https://www.otodom.pl/pl/oferta/93-m2-inwestycja-pod-kawalerki-apartamenty-ncl-ID4bj4R.html
"Mieszkanie, 30,94, Łódź","Bałuty, Radogoszcz",2,220000.0,30.94,7111.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-30-94-m-lodz-ID4biYc.html
Piękne 2 po remoncie,Górna,2,279000.0,40.0,6975.0,2021-05-02,https://www.otodom.pl/pl/oferta/piekne-2-pokoje-po-remoncie-ID4biXB.html
"DĄBROWA ul.Kadłubka 45,5m2 M3 2p.(BEZ PROWIZJI 0%)","Górna, Dąbrowa",2,232000.0,45.5,5099.0,2021-05-02,https://www.otodom.pl/pl/oferta/dabrowa-ul-kadlubka-45-5m2-m3-2p-bez-prowizji-0-ID4biVn.html
"DĄBROWA ul.Kadłubka 45,5m2 M3 2p.(BEZ PROWIZJI 0%)","Górna, Dąbrowa",2,232000.0,45.5,5099.0,2021-05-02,https://www.otodom.pl/pl/oferta/dabrowa-ul-kadlubka-45-5m2-m3-2p-bez-prowizji-0-ID4biWV.html
"Mieszkanie, 42,91, Łódź",Polesie,2,229000.0,42.91,5337.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-42-91-m-lodz-ID4biSb.html
"Apartament przy Stawach Jana ""Wille Jana""","Górna, Chojny",4,1185862.0,117.54,10089.0,2021-05-02,https://www.otodom.pl/pl/oferta/apartament-przy-stawach-jana-wille-jana-ID4biG0.html
WIDZEW 2 po remoncie loggia BEZPOŚREDNIO,Widzew,2,245000.0,39.9,6140.0,2021-05-02,https://www.otodom.pl/pl/oferta/widzew-2-pokoje-po-remoncie-loggia-bezposrednio-ID4bdf2.html
"Mieszkanie, wysoki standard, klimatyzacja.",Bałuty,2,293000.0,47.0,6234.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-wysoki-standard-klimatyzacja-ID4b5Lp.html
KOZINY ul.Górna 37m M3 SUPER Lokalizacja,"Polesie, Koziny",2,199000.0,37.18,5352.0,2021-05-02,https://www.otodom.pl/pl/oferta/koziny-ul-gorna-37m-m3-super-lokalizacja-ID4biFa.html
"Ogrodzony teren, 3 pełen rozkład 2 piętro",Bałuty,3,560000.0,71.0,7887.0,2021-05-02,https://www.otodom.pl/pl/oferta/ogrodzony-teren-3-pokoje-pelen-rozklad-2-pietro-ID4biBX.html
Sprzedam mieszkanie w dobrej lokalizacji,Górna,2,330000.0,50.1,6587.0,2021-05-02,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-dobrej-lokalizacji-ID4bizY.html
Piękne mieszkanie na osiedlu zamkniętym!!!,"Polesie, Retkinia",3,530000.0,75.0,7067.0,2021-05-02,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-osiedlu-zamknietym-ID4biu7.html
"Unikatowa oferta, dla wymagającego klienta",Widzew,6 pokoi,850000.0,180.7,4704.0,2021-05-02,https://www.otodom.pl/pl/oferta/unikatowa-oferta-dla-wymagajacego-klienta-ID4biqp.html
"Centrum,Śródmieście,3pokoje,3piętro,blok z cegły",Śródmieście,3,344900.0,70.58,4887.0,2021-05-02,https://www.otodom.pl/pl/oferta/centrum-srodmiescie-3pokoje-3pietro-blok-z-cegly-ID4bion.html
"Atrakcyjne, Nowoczesne i Przytulne Mieszkanie 48m2","Widzew, Olechów",2,330000.0,48.0,6875.0,2021-05-02,https://www.otodom.pl/pl/oferta/atrakcyjne-nowoczesne-i-przytulne-mieszkanie-48m2-ID4bieb.html
"Mieszkanie, 49,81, Łódź",Śródmieście,2,275000.0,49.81,5521.0,2021-05-02,https://www.otodom.pl/pl/oferta/mieszkanie-49-81-m-lodz-ID4bid4.html
Nowoczesne 2 pokojowe Teofilów REZERWACJA,Bałuty,2,270000.0,38.0,7105.0,2021-05-02,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-teofilow-rezerwacja-ID4bibh.html
"Piękne M3 po remoncie, Teofilów, ul. Traktorowa","Bałuty, Teofilów",2,339000.0,45.0,7533.0,2021-05-02,https://www.otodom.pl/pl/oferta/piekne-m3-po-remoncie-teofilow-ul-traktorowa-ID4bi71.html
