Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Apartament 65 m2 Primo Wysoki standard,Śródmieście,3,730000,65,11231,05-01-2021,https://www.otodom.pl/pl/oferta/apartament-65-m2-primo-wysoki-standard-ID49lhl.html
Sprzedam mieszkanie w apartamentowcu,Widzew,2,390000,50,7800,05-01-2021,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-w-apartamentowcu-ID48u1z.html
Zamieszkaj w Centrum - Apartamentowiec,Śródmieście,2,510000,68,7500,05-01-2021,https://www.otodom.pl/pl/oferta/zamieszkaj-w-centrum-apartamentowiec-ID49rcu.html
Apartament 475m2 - Liściasta Park,Bałuty,2,375000,47.50,7895,05-01-2021,https://www.otodom.pl/pl/oferta/apartament-47-5m2-lisciasta-park-ID49rbH.html
Rozkładowe M2 /47 M2/Balkon/Julianów/Polecam,Bałuty Julianów,2,260000,47,5532,05-01-2021,https://www.otodom.pl/pl/oferta/rozkladowe-m2-47-m2-balkon-julianow-polecam-ID49rak.html
M3 Łódź Teofilów - parter,Bałuty Teofilów,2,230000,46,5000,05-01-2021,https://www.otodom.pl/pl/oferta/m3-lodz-teofilow-parter-ID49r8T.html
Wykończone *POD KLUCZ* - Wieniawskiego 5 (2pokoje),Górna,2,383000,42.87,8934,05-01-2021,https://www.otodom.pl/pl/oferta/wykonczone-pod-klucz-wieniawskiego-5-2pokoje-ID49r77.html
M-3 Górna wyposażone gotowe do zamieszkania,Górna,2,235000,39.75,5912,05-01-2021,https://www.otodom.pl/pl/oferta/m-3-gorna-wyposazone-gotowe-do-zamieszkania-ID49r5f.html
Mieszkanie 2-pokojowe na Wojska Polskiego w bloku,Śródmieście,2,260000,47,5532,05-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-wojska-polskiego-w-bloku-ID49r5e.html
Mieszkanie 4592 Łódź,Polesie,2,260000,45.92,5662,05-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-45-92-m-lodz-ID49r5c.html
Mieszkanie 35 Łódź,łódzkie,2,181000,35,5171,05-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-35-m-lodz-ID49r4x.html
2 w centrum z c.o. i miejscem postojowym,Śródmieście,2,250000,45.37,5510,05-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-w-centrum-z-c-o-i-miejscem-postojowym-ID49r4u.html
Sprzedaż mieszkania,Bałuty Radogoszcz,4,429000,74,5797,05-01-2021,https://www.otodom.pl/pl/oferta/sprzedaz-mieszkania-ID49qZk.html
Mieszkanie 2 51 m RETKINIA,Polesie Retkinia,2,290000,51,5686,05-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-51-m-retkinia-ID49qZ4.html
Przytulne M-3 na Kozinach przy Manufakturze,Polesie Koziny,2,210000,37.15,5653,05-01-2021,https://www.otodom.pl/pl/oferta/przytulne-m-3-na-kozinach-przy-manufakturze-ID49qYR.html
2 z balkonem,Bałuty Teofilów,2,270000,44.70,6040,05-01-2021,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-ID49qXS.html
Mieszkanie 4760 Łódź,Polesie,2,399000,47.60,8382,05-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-47-60-m-lodz-ID49qQx.html
Mieszkanie 2715 Łódź,łódzkie,1,209050.38,27.15,7700,05-01-2021,https://www.otodom.pl/pl/oferta/mieszkanie-27-15-m-lodz-ID49qLC.html
