Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
"Mieszkanie Łódź, Bałuty, osiedle Jagiełły",Bałuty,1,170000.0,29.3,5802.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-lodz-baluty-osiedle-jagielly-ID4axQX.html
"Mieszkanie 2 36,25m2 w Wieżowcu","Górna, Dąbrowa",2,235000.0,36.25,6483.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-36-25m2-w-wiezowcu-ID4aFIr.html
"Piękne, komfortowe mieszkanie w Centrum, 113 mkw",Śródmieście,3,500000.0,113.0,4425.0,2021-03-20,https://www.otodom.pl/pl/oferta/piekne-komfortowe-mieszkanie-w-centrum-113-mkw-ID4aFGY.html
Mieszkanie po remoncie,"Bałuty, Żubardź",3,369000.0,53.0,6962.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-ID4aFGf.html
"Mieszkanie 2-pokojowe 45,30 m2 ul. Żubardzka",Bałuty,2,276000.0,45.3,6093.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-45-30-m2-ul-zubardzka-ID4aFBr.html
"Nowoczesna kawalerka 27m2, Łódź Żabieniec. Okazja!","Bałuty, Żabieniec",1,200000.0,27.0,7407.0,2021-03-20,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-27m2-lodz-zabieniec-okazja-ID4aFxE.html
"M3 Po Remoncie, Bałuty!",Bałuty,2,399000.0,60.0,6650.0,2021-03-20,https://www.otodom.pl/pl/oferta/m3-po-remoncie-baluty-ID4aFxD.html
"M3, po remoncie! Widzew",Widzew,2,279000.0,46.0,6065.0,2021-03-20,https://www.otodom.pl/pl/oferta/m3-po-remoncie-widzew-ID4aFxC.html
Przestronne M-3 ok.Ronda Lotników- do wprowadzenia,Górna,2,340000.0,53.0,6415.0,2021-03-20,https://www.otodom.pl/pl/oferta/przestronne-m-3-ok-ronda-lotnikow-do-wprowadzenia-ID4aFvW.html
Mieszkanie dwupokojowe,Górna,2,260000.0,36.0,7222.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-ID4aFwL.html
"3, 6150zł/mkw. Teofilów-oddanie 06/2021","Bałuty, Teofilów",3,405777.0,65.96,6152.0,2021-03-20,https://www.otodom.pl/pl/oferta/3-pokoje-6150zl-mkw-teofilow-oddanie-06-2021-ID4aFtO.html
"Rozkładowe M4,72 m2 loggia, Widzew",Widzew,3,410000.0,72.0,5694.0,2021-03-20,https://www.otodom.pl/pl/oferta/rozkladowe-m4-72-m2-loggia-widzew-ID4aFmv.html
M-3 z przeszkloną sypialnią na Widzewie Wschodzie,"Widzew, Widzew-Wschód",2,258000.0,34.5,7478.0,2021-03-20,https://www.otodom.pl/pl/oferta/m-3-z-przeszklona-sypialnia-na-widzewie-wschodzie-ID4aFeD.html
0% umeblowane/wolne od zaraz,"Górna, Dąbrowa",2,239000.0,41.0,5829.0,2021-03-20,https://www.otodom.pl/pl/oferta/0-umeblowane-wolne-od-zaraz-ID4aFel.html
"M4 - 68,40m2 Łódź, Bałuty, Julianów, Radogoszcz","Bałuty, Radogoszcz",3,399000.0,68.4,5833.0,2021-03-20,https://www.otodom.pl/pl/oferta/m4-68-40m2-lodz-baluty-julianow-radogoszcz-ID4aFaD.html
Słoneczne M3 czeka na Ciebie!,"Górna, Chojny",2,270000.0,50.07,5392.0,2021-03-20,https://www.otodom.pl/pl/oferta/sloneczne-m3-czeka-na-ciebie-ID4aF5h.html
Apartament 3 Pokoje ! Taras! Prywatne Osiedle!,łódzkie,2,448000.0,55.5,8072.0,2021-03-20,https://www.otodom.pl/pl/oferta/apartament-3-pokoje-taras-prywatne-osiedle-ID4aF4K.html
Kawalerka na Dąbrowie,"Górna, Dąbrowa",1,169000.0,28.0,6036.0,2021-03-20,https://www.otodom.pl/pl/oferta/kawalerka-na-dabrowie-ID4aF32.html
2 po remoncie w rewitalizowanej kamienicy,Śródmieście,2,279000.0,40.0,6975.0,2021-03-20,https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-w-rewitalizowanej-kamienicy-ID4aF2Y.html
2 pokojowe mieszkanie w odrestaurowanej kamienicy,Śródmieście,2,279000.0,32.9,8480.0,2021-03-20,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-odrestaurowanej-kamienicy-ID4aF1s.html
"Rozkładowe, Do Wprowadzenia!",Bałuty,3,360000.0,53.0,6792.0,2021-03-20,https://www.otodom.pl/pl/oferta/rozkladowe-do-wprowadzenia-ID4aF0b.html
"Mieszkanie, 48,85, Łódź","Widzew, Widzew-Wschód",2,290000.0,48.85,5937.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-48-85-m-lodz-ID4awHG.html
Mieszkanie Koplowicza z garażem i komórką okazja,"Widzew, Widzew-Wschód",3,450000.0,62.5,7200.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-koplowicza-z-garazem-i-komorka-okazja-ID4a4sL.html
2 pokojowe mieszkanie w Centrum Łodzi,Śródmieście,2,263000.0,36.0,7306.0,2021-03-20,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-centrum-lodzi-ID4aEZZ.html
"Bezpośrednio, mieszkanie przy manufakturze",Śródmieście,1,141500.0,22.65,6247.0,2021-03-20,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-przy-manufakturze-ID4aEZz.html
0% od Kupującego,Widzew,3,600000.0,79.73,7525.0,2021-03-20,https://www.otodom.pl/pl/oferta/0-od-kupujacego-ID4aEZa.html
Świetnie rozplanowane mieszkanie 2 + salon,"Bałuty, Stare Bałuty",3,313252.0,44.12,7100.0,2021-03-20,https://www.otodom.pl/pl/oferta/swietnie-rozplanowane-mieszkanie-2-pokoje-salon-ID4aEYD.html
M-3 Żubardzka 1 piętro!!,"Bałuty, Żubardź",2,279000.0,46.55,5994.0,2021-03-20,https://www.otodom.pl/pl/oferta/m-3-zubardzka-1-pietro-ID4aEXB.html
M4 Retkinia,Polesie,3,345000.0,64.2,5374.0,2021-03-20,https://www.otodom.pl/pl/oferta/m4-retkinia-ID4aEWk.html
"Mieszkanie, 62, Łódź","Górna, Kurczaki",3,299000.0,62.0,4823.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-62-m-lodz-ID4aETK.html
2 w kamienicy przy Manufakturze do remontu,Bałuty,2,172000.0,53.82,3196.0,2021-03-20,https://www.otodom.pl/pl/oferta/2-pokoje-w-kamienicy-przy-manufakturze-do-remontu-ID4aETy.html
"Po generalnym remoncie, obok Manufaktury",Śródmieście,1,199000.0,26.0,7654.0,2021-03-20,https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-obok-manufaktury-ID4aERV.html
M-2 na Retkini w pełni umeblowana,"Polesie, Retkinia",1,205000.0,30.94,6626.0,2021-03-20,https://www.otodom.pl/pl/oferta/m-2-na-retkini-w-pelni-umeblowana-ID4aEQY.html
"Mieszkanie na sprzedaż, Łódź, Bałuty",łódzkie,3,299000.0,57.0,5246.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-lodz-baluty-ID4aEQm.html
Mieszkanie w wyremontowanej kamienicy z windą,Śródmieście,3,530000.0,76.2,6955.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-w-wyremontowanej-kamienicy-z-winda-ID4aENi.html
0% od Kupujacego,Śródmieście,3,350000.0,67.0,5224.0,2021-03-20,https://www.otodom.pl/pl/oferta/0-od-kupujacego-ID4aEML.html
2 rondo Lotników Lwowskich,Górna,2,340000.0,53.0,6415.0,2021-03-20,https://www.otodom.pl/pl/oferta/2-pokoje-rondo-lotnikow-lwowskich-ID4aEJ2.html
"Rozkładowe M4 74,1m2 z balkonem Radogoszcz Wschód","Bałuty, Radogoszcz",3,407000.0,74.1,5493.0,2021-03-20,https://www.otodom.pl/pl/oferta/rozkladowe-m4-74-1m2-z-balkonem-radogoszcz-wschod-ID4aEIp.html
"M3, 48M2/2 Pięt./Śródmieście/Polecam",Śródmieście,2,320000.0,48.0,6667.0,2021-03-20,https://www.otodom.pl/pl/oferta/m3-48m2-2-piet-srodmiescie-polecam-ID4aEIo.html
Kawalerka Łodź Teofilów,"Bałuty, Teofilów",1,200000.0,28.0,7143.0,2021-03-20,https://www.otodom.pl/pl/oferta/kawalerka-lodz-teofilow-ID4aEGf.html
Idealne dla studenta lub młodej pary,"Śródmieście, Śródmieście-Wschód",2,366239.0,52.5,6976.0,2021-03-20,https://www.otodom.pl/pl/oferta/idealne-dla-studenta-lub-mlodej-pary-ID4aEF4.html
"Apartament 3, Łódź Śródmieście Wschód",Śródmieście,3,780000.0,113.0,6903.0,2021-03-20,https://www.otodom.pl/pl/oferta/apartament-3-pokoje-lodz-srodmiescie-wschod-ID4aEAV.html
"Mieszkanie 63 m2 ul. Lutomierska, 3",Śródmieście,3,358000.0,63.0,5683.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-63-m2-ul-lutomierska-3-pokoje-ID4aEAT.html
"mieszkanie M-3, Widzew + garaż (REZERWACJA)","Widzew, Widzew-Wschód",2,295000.0,41.34,7136.0,2021-03-20,https://www.otodom.pl/pl/oferta/mieszkanie-m-3-widzew-garaz-rezerwacja-ID4ajdB.html
