Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Mieszkanie M3 Żubardź 46m2,Bałuty Żubardź,2,272000,46.29,5876,19-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m3-zubardz-46m2-ID49gvj.html#ed7b2d23ec
Mieszknie M3 świetna lokalizacja/Widzew od zaraz,Widzew Widzew-Wschód,2,275000,44.50,6180,19-12-2020,https://www.otodom.pl/pl/oferta/mieszknie-m3-swietna-lokalizacja-widzew-od-zaraz-ID495Yb.html#ed7b2d23ec
Komfortowe 2 pokojowe mieszkanie-&gt;&gt;Obywatelska!!,łódzkie,2,255711,39.53,6469,19-12-2020,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-obywatelska-ID476PN.html#ed7b2d23ec
Mieszkanie M3 Żubardź 46m2,Bałuty Żubardź,2,272000,46.29,5876,19-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-m3-zubardz-46m2-ID49gvj.html#ed7b2d23ec
W pełni wyposażone 2 54m2 obok Manufaktury,Śródmieście,2,339000,54,6278,19-12-2020,https://www.otodom.pl/pl/oferta/w-pelni-wyposazone-2-pokoje-54m2-obok-manufaktury-ID48fUh.html#ed7b2d23ec
M4 53m2 po remoncie pełen rozkład balkon,Górna,3,297000,52.46,5661,19-12-2020,https://www.otodom.pl/pl/oferta/m4-53m2-po-remoncie-pelen-rozklad-balkon-ID49gtI.html#ed7b2d23ec
M-3 Górna Balkon Pełen RozkładCzerwony Rynek,Górna,2,250000,42.98,5817,19-12-2020,https://www.otodom.pl/pl/oferta/m-3-gorna-balkon-pelen-rozklad-czerwony-rynek-ID49aju.html#ed7b2d23ec
M-3 Balkon W Spokojnej Okolicy!,Bałuty,2,195000,37.69,5174,19-12-2020,https://www.otodom.pl/pl/oferta/m-3-balkon-w-spokojnej-okolicy-ID49e9A.html#ed7b2d23ec
M3 - 4595m2 - Wielkopolska,Bałuty,2,260000,45.95,5658,19-12-2020,https://www.otodom.pl/pl/oferta/m3-45-95m2-wielkopolska-ID47z5b.html#ed7b2d23ec
Wykończone 466 m2 Z WIDOKIEM NA LAS Olechów,Widzew Olechów,2,395000,46.60,8476,19-12-2020,https://www.otodom.pl/pl/oferta/wykonczone-46-6-m2-z-widokiem-na-las-olechow-ID49b2G.html#ed7b2d23ec
