Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Data,Link do ogłoszenia
Nowe wygodne 3 pokojowe przy Obywatelskiej- HIT!,łódzkie,3,304230,48.78,6237,13-12-2020,https://www.otodom.pl/pl/oferta/nowe-wygodne-3-pokojowe-przy-obywatelskiej-hit-ID476O7.html#ed7b2d23ec
Mieszkanie w kamienicy 3 pok. 54 m2 niska cena,Widzew,3,169000,54.40,3107,13-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-3-pok-54-m2-niska-cena-ID48Bj6.html#ed7b2d23ec
Bezpośrednio Olechów 3 aneks 1 piętro,Widzew Olechów,3,293000,54.70,5356,13-12-2020,https://www.otodom.pl/pl/oferta/bezposrednio-olechow-3-pokoje-aneks-1-pietro-ID48a9O.html#ed7b2d23ec
Rozkładowe M3 na Teofilowie. 45m2.,Bałuty Teofilów,2,245000,45,5444,13-12-2020,https://www.otodom.pl/pl/oferta/rozkladowe-m3-na-teofilowie-45m2-ID48Xh1.html#ed7b2d23ec
Wysoki standard M-3 + balkon na Niemcewicza.,Górna,2,270000,37.20,7258,13-12-2020,https://www.otodom.pl/pl/oferta/wysoki-standard-m-3-balkon-na-niemcewicza-ID49bdc.html#ed7b2d23ec
Mieszkanie nowe dla rodziny. Pilnie sprzedam!,Polesie,2,283267,47.29,5990,13-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-nowe-dla-rodziny-pilnie-sprzedam-ID46AzZ.html#ed7b2d23ec
mieszkanie w standardzie Eko do remontu,Bałuty Teofilów,2,210000,45,4667,13-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-w-standardzie-eko-do-remontu-ID472Qt.html#ed7b2d23ec
Mieszkanie dla pary,Bałuty,2,215000,36,5972,13-12-2020,https://www.otodom.pl/pl/oferta/mieszkanie-dla-pary-ID47MXt.html#ed7b2d23ec
Łódź Sienkiewicza 53 Piotrkowska bez PCC,Śródmieście,2,370000,46,8043,13-12-2020,https://www.otodom.pl/pl/oferta/lodz-sienkiewicza-53-piotrkowska-bez-pcc-ID48Xgh.html#ed7b2d23ec
SRÓDMIEŚCIE ul.Narutowicza 48m M3 obok RADIOSTACJI,Śródmieście Śródmieście-Wschód,2,229000,47.72,4799,13-12-2020,https://www.otodom.pl/pl/oferta/srodmiescie-ul-narutowicza-48m-m3-obok-radiostacji-ID49bbU.html#ed7b2d23ec
